IDs;ID_n;domain
qza2yw7qkddd;1;Food
wdqr0khtrkyu;2;Food
puwl4gv8w7xv;3;Food
i636fcg5x0fy;4;Food
mcvs1zmkool3;5;Food
s1u4m0v2txtl;6;Food
18wkffvb0nro;7;Food
69o8no5c4w02;8;Food
4exoqp2hez7x;9;Food
zh2xzi9fyij8;10;Food
zri7kdb5djgr;11;Food
38b8w4u86tp9;12;Food
jxoeol64n5hz;13;Food
02m3zllu1k3s;14;Food
5cbmft08cq03;15;Food
794b9v70hot7;16;Food
oiytkamz9b68;17;Food
5pcezz7727ha;18;Food
8w65x3973yxq;19;Food
luaevzlbbjwo;20;Food
scj4c0vnxtir;21;Food
nvvgggjd4479;22;Food
wniu05cydgfm;23;Food
ny6bqxvzzhx5;24;Food
gmz56it2g8ek;25;Food
bkehq8h4kqck;26;Food
hsb8a87w94ei;27;Food
3xydkhwxmmdm;28;Food
lqga75g2fj41;29;Food
9y1vmy0rnmss;30;Food
9oddgxwo9c9c;31;Food
drqmw5inbe0l;32;Food
xyjesk589j31;33;Food
5mutbqbcfxkj;34;Food
2uo14k0xw9m4;35;Food
kiz0e74wvrz6;36;Food
hs7xjpxwqzoz;37;Food
t7nnzue0eo9u;38;Food
l8ezhyyp325m;39;Food
5cib5ha5gyup;40;Food
0ba3662lv6vw;41;Food
ce75nokgote6;42;Food
tjoc8yv4kf4o;43;Food
lhm6c5m9odj9;44;Food
nyo8d8p2ok0i;45;Food
j4tufliz4ct6;46;Food
n11xewpgbxj4;1;Countries
munr1sh9ezc8;2;Countries
7k1k3a6issm1;3;Countries
4n5e6nkj21xl;4;Countries
k5d1wxxqlmni;5;Countries
xwvj2v8391m1;6;Countries
x7t9moqpn7du;7;Countries
cu4jzug5dshc;8;Countries
p1zg6qqoufvv;9;Countries
wlfzyxtuin3l;10;Countries
hpajcjzog48v;11;Countries
dlan9mr2iku8;12;Countries
8xw3ufhwbsme;13;Countries
7bagakupy07m;14;Countries
jlx0jreulovy;15;Countries
kp76hw01z3b2;16;Countries
f52y9ezjwc9h;17;Countries
ev2fnz9nxtx2;18;Countries
nfd8u3q7kdlu;19;Countries
mq9p1a54t26w;20;Countries
svdxe9n1f3ku;21;Countries
6p84ypzofiiy;22;Countries
15er40f6hrc7;23;Countries
1jyepxdsepby;24;Countries
un90iavtgolm;25;Countries
8xds32cqrhlg;26;Countries
830wmzipl92b;27;Countries
ap09bdriiaxs;28;Countries
f7wkplh1kr5z;29;Countries
rj8dmpyn2563;30;Countries
1r4upum7lxhi;31;Countries
j76opfa4wjzj;32;Countries
efuhrzbhjnwg;33;Countries
nkfzm8e0mtcu;34;Countries
6pjob01zppal;35;Countries
19x6o075e4oy;36;Countries
ovd5s5i79kru;37;Countries
a1yt5ymbgc4m;38;Countries
1nziths5mtj0;39;Countries
oi136bu0srj9;40;Countries
i6xr02yzsoee;41;Countries
8pxa6oh4ylfk;42;Countries
5p4nqbumcod1;43;Countries
nxibx285n3rn;44;Countries
kesc2p7oa7me;45;Countries
okeobbnlodto;46;Countries
sbydcgc89frj;47;Countries
vzgw3yufjpr4;48;Countries
chp46vl70814;1;Mammals
apzvrxiaap22;2;Mammals
dp0g9nbjr8wo;3;Mammals
ch1i36lf3gb1;4;Mammals
mrb0s0ckbda9;5;Mammals
bkl2178x4saf;6;Mammals
s8hbr6g15kfh;7;Mammals
6wstjp4wezt4;8;Mammals
9ohtsd1826k8;9;Mammals
p4km3aw4hdmt;10;Mammals
rixs8hohxtip;11;Mammals
d363es3nvfvq;12;Mammals
t6pxayhn7es0;13;Mammals
p8j3krfjtc18;14;Mammals
45v39tkqnh0b;15;Mammals
u9zfucz7zuwn;16;Mammals
oszy5gk8fkit;17;Mammals
4onztfuwyeet;18;Mammals
cpgixk1g8s99;19;Mammals
wq9cvsm023n7;20;Mammals
uxc38enxb0sl;21;Mammals
mo6b50e8cl78;22;Mammals
hzeafke8f5ke;23;Mammals
mr8c5sfjy7bc;24;Mammals
9g1zjvfjm5ie;25;Mammals
9y9ydj97huhc;26;Mammals
tcrqt6ih5i2s;27;Mammals
pq5u101ioebi;28;Mammals
jpx3htsbrf1n;29;Mammals
bx2kflenfbbi;30;Mammals
dm6c9jbelxv7;31;Mammals
34tcwd0j5qgq;32;Mammals
uyfz2oyo6483;33;Mammals
xic5dq81cqld;34;Mammals
m7iifwqavf3f;35;Mammals
exre9dksey03;36;Mammals
yz6r3zc0isf5;37;Mammals
8f6bbs5a58p2;38;Mammals
0xhc0yxm5czl;39;Mammals
uh7i5dewrmic;40;Mammals
wl5925o0j4iv;41;Mammals
a3eokjk1z75r;42;Mammals
tk04u7pmrsvp;43;Mammals
s2edlrqnhaz8;44;Mammals
2qewr80masfh;45;Mammals
xhkz4vsry78k;46;Mammals
rsulb3mqq6p4;47;Mammals
u13d9hi208ge;48;Mammals
