ID_item,item,img,training,crit,n11xewpgbxj4,munr1sh9ezc8,7k1k3a6issm1,4n5e6nkj21xl,k5d1wxxqlmni,xwvj2v8391m1,x7t9moqpn7du,cu4jzug5dshc,p1zg6qqoufvv,wlfzyxtuin3l,hpajcjzog48v,dlan9mr2iku8,8xw3ufhwbsme,7bagakupy07m,jlx0jreulovy,kp76hw01z3b2,f52y9ezjwc9h,ev2fnz9nxtx2,nfd8u3q7kdlu,mq9p1a54t26w,svdxe9n1f3ku,6p84ypzofiiy,15er40f6hrc7,1jyepxdsepby,un90iavtgolm,8xds32cqrhlg,830wmzipl92b,ap09bdriiaxs,f7wkplh1kr5z,rj8dmpyn2563,1r4upum7lxhi,j76opfa4wjzj,efuhrzbhjnwg,nkfzm8e0mtcu,6pjob01zppal,19x6o075e4oy,ovd5s5i79kru,a1yt5ymbgc4m,1nziths5mtj0,oi136bu0srj9,i6xr02yzsoee,8pxa6oh4ylfk,5p4nqbumcod1,nxibx285n3rn,kesc2p7oa7me,okeobbnlodto,sbydcgc89frj,vzgw3yufjpr4
1,China,c_1.png,0,78,69,76,70,80,84,84,80,70,82,80,83,76,85,80,83,75,77.1,67,81,67,85.2,78.6,72,80,83.1,80,72,82,85.5,80,82,83,77,68,89,65.3,79.9,90,85,79,79.8,76.4,79,80,80,79,82,76
2,India,c_2.png,0,72.2,68,76,70,70,60,80,68,77,79,80,58,63,80,75,73,70,70.4,78,67,64,87,67.7,72,71,68.2,73,78,67,78,77,80,78,71,59,90,87,77,78,70,74,73,79.9,72,72,72,67,87,70
3,United States,c_3.png,0,79.5,69,78,83,80,74,84,83,69,82,65,71,80,82,74,78,85,78.5,78,82,77,85.6,77.4,80,83,71.3,79,72,71,83.5,85,78,79,82,80,89,78,77.8,80,75,80,82,84.5,86,82,80,76,76,NA
4,Nigeria,c_4.png,1,54.6,74,53.6,54,54,56,54,54.6,54.6,54,76,54.6,55,54,54.6,54,54.6,54.5,54.6,54.5,56,54.6,53.6,77,54.6,55,54,54,54,54.6,52,54,54,55,54,54.6,54.6,54.6,54,53,55,54.6,54.2,71,54,53.6,64,54.6,70
5,Brazil,c_5.png,0,76,77,70,80,65,74,78,74,66,77,80,68,75,78,79,79,75,75.9,76,79,65,82.1,73.4,79,75,76.4,79,78,78,78,76,79,74,78,82,78,78.9,76,67,82,77,78,74.6,79,80,75,76,79,70
6,Russia,c_6.png,0,73.3,68,72,69,83,79,78,78,80,71,75,80,70,80,78,81,80,71.6,73,79,65,84.5,72.6,85,77,70.1,79,73,71,80.5,78,82,76,61,56,87,70,78.8,94,84,74,82,80.5,71,78,80,73,83,80
7,Mexico,c_7.png,0,75.3,60,78,70,70,70,72,78,77,68,75,70,74,69,81,80,77,75,78.9,80,65,76.3,75.1,78,73,70.8,79,75,68,75.4,75,74,69,78,73,87,67.7,76.5,85,76,79,79,79.8,82,76,79,86,78,70
8,Ethiopia,c_8.png,0,67.6,55,52,50,60,52,68,55,59,58,56,72,53,64,66,55,78,80.1,72,67,60,57.6,65.6,76,61,54.2,68,78,76,67.1,54,55,71,61,52,56.8,89,78.5,64,78,68,57,70.6,72,70,59,78,78,70
9,Egypt,c_9.png,1,71.8,71,71,78,72,78,71,71,71,71,71.8,71.3,75,71,71.8,75,71.8,71.8,71.6,78,71,71.1,71.9,74,71,70.8,71,76,72,71.8,71,75,78,72,71,71.8,71.8,71.8,85,73,73,71.6,70.1,72,70,73,76,71.8,75
10,Vietnam,c_10.png,0,74.7,71,75,70,75,70,73,70,78,78,78,65,77,85,80,80,72,81.3,67,77,65,80.1,74.6,78,73,70.3,70,72,81,80,73,57,72,73,66,67,54.4,76.4,79,68,77,74.7,70.3,81,71,72,81,78,70
