ID_item,item,img,training,crit,qza2yw7qkddd,wdqr0khtrkyu,puwl4gv8w7xv,i636fcg5x0fy,mcvs1zmkool3,s1u4m0v2txtl,18wkffvb0nro,69o8no5c4w02,4exoqp2hez7x,zh2xzi9fyij8,zri7kdb5djgr,38b8w4u86tp9,jxoeol64n5hz,02m3zllu1k3s,5cbmft08cq03,794b9v70hot7,oiytkamz9b68,5pcezz7727ha,8w65x3973yxq,luaevzlbbjwo,scj4c0vnxtir,nvvgggjd4479,wniu05cydgfm,ny6bqxvzzhx5,gmz56it2g8ek,bkehq8h4kqck,hsb8a87w94ei,3xydkhwxmmdm,lqga75g2fj41,9y1vmy0rnmss,9oddgxwo9c9c,drqmw5inbe0l,xyjesk589j31,5mutbqbcfxkj,2uo14k0xw9m4,kiz0e74wvrz6,hs7xjpxwqzoz,t7nnzue0eo9u,l8ezhyyp325m,5cib5ha5gyup,0ba3662lv6vw,ce75nokgote6,tjoc8yv4kf4o,lhm6c5m9odj9,nyo8d8p2ok0i,j4tufliz4ct6
1,Spaghetti,Bild1.png,1,28,28,28,28,28,28,40,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,11,28,28,26,28,28,28,28,28,28,11,28,28,28,28,28,28,28,28,45,28,28,28,28,28
2,Rice,Bild2.png,0,28,87,16,28,77,75,37,50,77,60,77,46,30,74,77,82,77,45,75,50,45,77,65,30,77,60,28,25,50,77,58,60,60,26,20,30,57,77,66,25,55,69,60,65,45,60,35
3,Rigatoni,Bild3.png,0,34,55,30,28,32,28,37,50,28,68,28,30,25,49,30,30,28,56,35,66,65,28,34,16,60,40,28,25,60,27,23,20,23,44,25,24,60,34,28,30,57,45,50,18,30,25,30
4,Bread roll,Bild4.png,0,44,45,77,40,46,66,47,65,47,39,56,35,45,75,80,75,34,13,65,60,32,50,24,32,50,40,40,40,60,67,77,40,23,42,50,32,34,60,56,30,45,45,30,70,60,60,60
5,Oat flakes,Bild5.png,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,30,60,60,60,60,46,60,60,40,35,60,60,60,60,60,60,24,60,34,60,28,60,60,60,60,60,57,60,60,60
6,Couscous,Bild6.png,0,29,78,3,12,77,68,57,69,40,55,16,44,25,45,65,60,50,17,40,57,76,28,67,27,60,40,35,20,65,12,67,34,25,35,50,50,60,60,30,40,60,20,42,60,19,55,45
7,Bread,Bild7.png,0,43,43,70,12,55,75,57,67,60,68,65,23,45,24,80,68,30,75,70,75,35,77,56,11,50,60,25,40,65,60,77,29,59,50,25,30,34,77,16,50,34,50,43,52,35,50,70
8,Croissant,Bild8.png,0,47,80,60,41,78,69,60,56,45,66,34,65,45,75,67,37,28,34,55,30,45,34,NA,22,4,30,35,40,56,35,77,60,23,20,30,42,40,2,77,24,34,45,45,75,45,55,45
9,White toast,Bild9.png,0,47,34,78,40,55,70,67,80,70,34,56,24,50,59,67,90,16,34,75,60,56,50,65,50,2,50,35,55,45,45,70,23,34,33,16,52,34,77,75,NA,34,40,34,50,55,55,70
10,Bulgur,Bild10.png,0,24,89,16,21,41,25,60,79,24,66,25,54,21,67,60,65,64,50,60,68,34,77,46,22,60,30,45,18,70,34,75,4,20,36,70,36,47,77,78,30,60,45,60,65,18,50,50
11,Wrap,Bild11.png,0,52,45,40,40,38,65,38,35,57,38,56,34,45,15,70,64,45,9,65,55,67,60,67,24,77,30,70,40,40,34,75,30,20,12,50,20,34,60,45,35,28,50,37,28,55,12,65
12,Potatoes,Bild12.png,0,19,90,60,12,80,80,40,70,35,50,56,56,18,31,85,85,66,57,10,70,47,76,57,28,28,46,45,15,60,50,45,50,45,20,40,45,77,77,60,26,77,60,74,65,36,65,60
13,Cucumber,Bild13.png,0,2,3,1,31,2,2,10,12,1,1,8,6,4,1,1,1,7,60,3,50,45,6,52,20,18,5,1,4,43,2,34,2,1,27,60,31,11,11,16,34,1,5,11,1,6,1,1
14,Bell pepper,Bild14.png,0,6,4,2,12,3,2,13,32,3,6,8,5,3,15,17,14,NA,42,9,5,45,8,57,20,35,15,4,6,78,5,23,1,2,35,17,32,16,8,34,42,16,2,11,1,16,1,5
15,Carrots,Bild15.png,0,7,23,8,24,2,2,12,35,2,2,8,5,10,4,2,10,30,10,5,5,43,4,44,62,15,7,1,10,60,2,14,1,2,35,14,43,30,2,50,45,16,2,3,2,11,3,3
16,Corn,Bild16.png,1,11,11,16,11,11,11,14,14,11,11,11,11,11,11,11,11,11,34,17,11,11,11,28,11,11,11,11,11,11,11,11,11,11,11,36,11,16,11,11,11,11,30,11,11,16,11,11
17,Fried egg,Bild17.png,0,2,23,1,34,32,73,8,19,1,15,2,2,1,52,1,5,5,45,10,1,34,1,3,20,2,2,40,2,10,11,2,4,2,67,16,22,37,8,17,20,16,10,32,77,39,12,10
18,Broccoli,Bild18.png,0,2,23,1,8,8,1,15,31,1,2,3,7,7,14,1,4,77,2,8,45,24,5,45,28,18,5,5,6,54,1,4,4,2,5,30,30,8,5,34,45,4,2,2,4,13,2,3
19,Tomatoes,Bild19.png,0,3,2,4,3,2,2,20,23,1,6,12,12,3,2,3,8,77,65,6,4,56,4,14,10,18,15,15,3,12,8,16,34,12,10,18,45,8,2,65,10,4,15,21,2,16,2,3
20,Iceberg lettuce,Bild20.png,0,2,3,1,12,1,1,10,1,2,1,8,3,2,1,1,1,2,65,6,60,76,3,65,56,28,5,1,3,34,1,3,66,3,25,40,33,4,1,28,30,4,2,1,1,3,1,1
21,Cauliflower,Bild21.png,0,2,56,1,12,38,1,12,37,38,7,8,5,5,1,5,3,45,15,6,60,45,2,56,20,60,8,5,5,45,2,67,4,22,45,49,30,37,7,50,25,47,2,14,2,6,1,2
22,Mushrooms,Bild22.png,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
23,Peas,Bild23.png,0,9,45,5,15,8,5,12,47,2,10,16,17,6,4,3,14,60,14,17,15,45,16,45,40,77,10,5,14,18,16,23,20,23,30,30,43,16,18,30,45,11,15,26,4,21,5,10
24,Lentils,Bild24.png,0,25,34,11,20,18,5,14,65,2,40,3,22,20,23,2,65,56,30,50,15,34,16,56,26,4,25,30,20,56,23,23,52,55,32,34,33,37,28,2,20,28,36,60,24,8,50,15
25,Beans,Bild25.png,0,3,45,3,12,6,5,14,50,4,2,2,4,25,4,4,15,NA,43,18,2,57,16,54,40,4,10,1,20,40,5,5,10,4,44,65,25,57,60,50,35,16,25,3,11,14,2,2
26,Banana,Bild26.png,0,20,67,10,22,35,5,20,59,1,12,3,24,23,8,2,25,55,45,10,34,4,7,42,45,18,25,16,23,29,19,24,8,2,22,26,74,17,17,15,10,16,40,21,60,19,60,3
27,Apple,Bild27.png,0,14,9,15,25,3,1,15,31,4,12,16,30,25,12,3,30,3,1,8,43,32,6,56,10,11,5,20,25,56,4,11,4,10,24,26,30,16,7,19,34,16,15,11,5,9,5,5
28,Watermelon,Bild28.png,0,8,1,5,31,6,3,10,21,1,8,20,23,8,2,1,13,14,16,8,32,23,4,67,35,18,5,15,8,40,2,7,1,3,10,15,20,4,7,35,30,16,10,4,1,3,50,2
29,Kidney beans,Bild29.png,0,13,23,14,22,12,6,14,80,56,20,1,20,22,6,8,11,77,45,25,3,56,16,45,30,18,5,23,20,20,14,43,40,7,25,40,45,34,28,56,45,16,30,11,35,21,65,15
30,Orange,Bild30.png,0,8,3,1,21,3,4,12,24,1,10,8,23,10,3,2,24,6,15,7,4,54,4,56,55,35,5,10,12,34,2,17,2,2,15,19,33,2,4,55,24,4,2,10,5,10,1,3
31,Mandarin,Bild31.png,0,10,12,2,12,3,3,10,17,1,8,12,13,9,3,1,18,8,45,6,55,45,45,54,55,18,10,15,10,54,2,11,4,3,10,70,15,12,8,45,35,16,5,4,1,9,40,3
32,Mango,Bild32.png,0,13,23,20,14,4,11,15,21,1,14,8,23,15,12,2,15,47,75,8,15,64,56,45,20,50,15,5,15,34,4,6,2,20,20,50,33,14,28,30,20,34,15,4,16,11,45,4
33,Pineapple,Bild33.png,0,12,45,77,13,4,15,16,17,4,12,8,25,13,12,5,25,32,14,15,45,75,5,56,43,11,5,17,13,30,5,20,11,2,55,25,12,34,11,16,42,16,15,15,12,12,3,3
34,Strawberry,Bild34.png,0,6,1,14,21,3,5,16,21,2,9,6,21,55,4,15,32,5,40,3,5,34,43,56,12,18,9,5,7,32,2,45,10,23,25,40,36,17,11,56,30,16,15,5,2,13,5,2
35,Raspberry,Bild35.png,0,5,4,6,34,3,8,8,21,3,15,7,16,12,5,4,26,14,65,3,6,6,5,76,29,16,8,15,5,34,3,16,4,2,43,16,NA,16,18,16,23,16,20,11,35,9,10,10
36,Pear,Bild36.png,0,12,34,9,31,3,3,21,23,1,9,8,24,15,3,3,17,7,16,4,70,65,4,14,20,18,10,15,15,19,4,14,4,11,40,30,32,16,7,75,10,16,15,7,4,11,2,5
37,Apricot,Bild37.png,0,9,45,5,12,3,12,12,20,2,8,8,19,9,12,6,12,9,65,10,45,35,4,46,18,35,10,8,9,54,8,12,32,44,10,30,15,16,15,50,43,16,5,8,10,9,2,5
38,Grapes,Bild38.png,0,15,2,18,18,3,8,15,34,1,2,16,27,17,2,1,21,67,9,9,50,23,5,78,44,14,5,8,17,56,2,56,8,34,36,10,43,12,8,34,40,8,2,3,4,13,45,10
39,Yogurt,Bild39.png,0,6,67,10,12,50,16,25,30,57,12,2,16,6,25,10,3,5,45,12,60,65,28,46,56,11,50,30,4,45,56,45,25,50,55,14,35,57,16,67,35,57,35,78,25,12,30,2
40,Curd cheese,Bild40.png,0,4,34,2,3,34,63,45,32,50,25,2,5,3,24,10,2,80,30,10,55,3,5,76,20,17,25,34,3,76,60,67,24,22,20,14,45,57,18,43,25,57,35,40,32,51,16,2
