ID;timestamp;phase;block;trial;ID_item;img;training;est;true;rt_ms;response_duration_ms;time_stim_shown;first_input;input_values;input_times;strategy;mammal_knowledge;quality;cheated;age;gender;undisturbed;undisturbed_specific;technical_problems;technical_problems_specific
chp46vl70814;2025-04-23;training;1;0;Bottlenosed dolphin;38.png;1;500;2831;8147,200000000012;100;230017,300;235524;5, 0, 0;235524, 235823, 236048;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;1;1;Red panda;09.png;1;500;550;5213,699999999983;94;243046,900;244975;5, 0, 0;244975, 245424, 245724;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;1;2;Western gray kangaroo;41.png;1;1000;670;4797,599999999948;183;251833,600;253624;1, 0, 0, 0;253624, 253999, 254162, 254325;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;1;3;Nutria;76.png;1;100;152;3282,700000000041;78;257864,100;260062;1, 0, 0;260062, 260324, 260473;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;1;4;Wart hog;17.png;1;365;578;3709,599999999977;85;262107,000;264637;3, 6, 5;264637, 264924, 265162;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;1;5;Sugar glider;43.png;1;50;236;2916,600000000035;78;267719,800;269862;5, 0;269862, 270036;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;1;6;Slender loris;68.png;1;250;380;3205,700000000070;62;271862,600;273937;2, 5, 0;273937, 274050, 274449;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;1;7;Tiger;26.png;1;700;1268;4860,000000000000;78;276740,400;280260;7, 0, 0;280260, 280336, 280898;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;1;8;Stump-tailed macaque;59.png;1;500;1186;2115,300000000047;93;283121,500;284749;5, 0, 0;284749, 284799, 284986;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;1;9;Eurasian red squirrel;77.png;1;160;296;3735,800000000047;97;286178,600;288360;1, 6, 0;288360, 289211, 289323;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;1;10;African buffalo;10.png;1;1200;1475;4451,100000000035;78;290839,200;293867;1, 2, 0, 0;293867, 294050, 294337, 294499;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;1;11;African bush elephant;70.png;1;2500;4018;3228,400000000023;78;296067,900;297838;2, 5, 0, 0;297838, 298387, 298587, 298736;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;2;0;Western gray kangaroo;41.png;1;1000;670;5803,299999999988;116;301363,300;304525;1, 0, 0, 0;304525, 306176, 306363, 306538;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;2;1;Wart hog;17.png;1;700;578;3658,000000000000;102;308028,400;311176;7, 0, 0;311176, 311212, 311400;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;2;2;Tiger;26.png;1;2500;1268;4504,699999999953;92;312572,000;315874;2, 5, 0, 0;315874, 315975, 316538, 316700;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;2;3;African buffalo;10.png;1;2000;1475;2529,100000000035;135;318017,800;319574;2, 0, 0, 0;319574, 319812, 319988, 320125;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;2;4;African bush elephant;70.png;1;4000;4018;3824,199999999953;153;321458,900;324363;4, 0, 0, 0;324363, 324501, 324688, 324838;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;2;5;Eurasian red squirrel;77.png;1;350;296;2970,199999999953;110;326520,500;328212;3, 5, 0;328212, 328724, 329163;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;2;6;Nutria;76.png;1;250;152;3407,000000000058;153;330329,300;332576;2, 5, 0;332576, 333025, 333325;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;2;7;Stump-tailed macaque;59.png;1;250;1186;2016,899999999965;112;334655,800;335826;2, 5, 0;335826, 336012, 336349;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;2;8;Bottlenosed dolphin;38.png;1;2800;2831;2722,900000000023;114;337545,600;339248;2, 8, 0, 0;339248, 339424, 339699, 339849;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;2;9;Slender loris;68.png;1;1000;380;3246,999999999942;87;341137,200;343311;1, 0, 0, 0;343311, 343599, 343762, 343924;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;2;10;Red panda;09.png;1;350;550;2577,000000000058;113;345547,300;347064;3, 5, 0;347064, 347249, 347813;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;2;11;Sugar glider;43.png;1;300;236;2955,200000000012;102;349105,300;350602;3, 0, 0;350602, 351550, 351725;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;3;0;Bottlenosed dolphin;38.png;1;2800;2831;2214,899999999965;126;353999,800;355338;2, 8, 0, 0;355338, 355524, 355750, 355912;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;3;1;Wart hog;17.png;1;550;578;3079,100000000035;102;356923,200;359314;5, 5, 0;359314, 359414, 359637;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;3;2;Sugar glider;43.png;1;300;236;3164,900000000023;134;360865,600;362677;3, 0, 0;362677, 363563, 363724;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;3;3;African bush elephant;70.png;1;4000;4018;2466,000000000000;96;364874,600;366486;4, 0, 0, 0;366486, 366649, 366825, 366989;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;3;4;Stump-tailed macaque;59.png;1;1200;1186;4811,399999999965;104;368065,200;371976;1, 2, 0, 0;371976, 372124, 372437, 372600;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;3;5;Western gray kangaroo;41.png;1;1500;670;2527,500000000058;73;373694,800;375401;1, 5, 0, 0;375401, 375513, 375812, 375964;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;3;6;Tiger;26.png;1;2500;1268;2271,900000000023;86;377052,400;378414;2, 5, 0, 0;378414, 378537, 378863, 379026;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;3;7;African buffalo;10.png;1;2000;1475;4925,700000000012;116;380677,200;384752;2, 0, 0, 0;384752, 385001, 385163, 385288;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;3;8;Slender loris;68.png;1;365;380;2676,599999999977;126;386523,900;388175;3, 6, 5;388175, 388338, 388763;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;3;9;Red panda;09.png;1;550;550;2665,700000000012;106;390098,700;391865;5, 5, 0;391865, 391912, 392287;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;3;10;Eurasian red squirrel;77.png;1;230;296;6102,200000000070;86;393640,100;395226;3, 5, 0, 2, 3, 0;395226, 395601, 396063, 398311, 398388, 398688;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;3;11;Nutria;76.png;1;152;152;4729,999999999942;118;400622,700;401899;2, 3, NA, NA, 1, 5, 2;401899, 402050, 402889, 403039, 403601, 403976, 404913;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;4;0;Nutria;76.png;1;152;152;1923,399999999965;110;407321,300;408601;1, 5, 2;408601, 408801, 408926;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;4;1;Sugar glider;43.png;1;350;236;2653,000000000000;127;409977,500;411252;3, 5, 0;411252, 412014, 412289;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;4;2;Tiger;26.png;1;1250;1268;2873,499999999942;94;413435,200;414576;1, 2, 5, 0;414576, 414889, 415089, 415589;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;4;3;Red panda;09.png;1;400;550;3907,900000000023;86;417160,600;420002;4, 0, 0;420002, 420226, 420389;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;4;4;African bush elephant;70.png;1;4000;4018;4521,599999999977;28;421854,500;424314;5, NA, 4, 0, 0, 0;424314, 425064, 425239, 425351, 425501, 425637;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;4;5;Western gray kangaroo;41.png;1;700;670;3387,500000000000;76;427032,900;429588;7, 0, 0;429588, 429813, 429950;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;4;6;Slender loris;68.png;1;365;380;3614,699999999953;110;431225,900;433752;3, 6, 5;433752, 433826, 434039;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;4;7;Stump-tailed macaque;59.png;1;1200;1186;2733,299999999988;102;435619,300;437027;1, 2, 0, 0;437027, 437138, 437467, 437626;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;4;8;Bottlenosed dolphin;38.png;1;3;2831;1382,899999999965;86;439177,200;440189;3;440189;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;4;9;Eurasian red squirrel;77.png;1;230;296;9753,000000000000;101;442117,400;448427;3, 5, 0, NA, NA, NA, 2, 3, 0;448427, 448639, 449076, 450277, 450463, 450576, 450704, 450777, 450852;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
chp46vl70814;2025-04-23;training;4;10;Wart hog;17.png;1;500;578;2558,599999999977;93;452691,600;454051;5, 0, 0;454051, 454576, 454751;The size and type of the animal relative to other mammals;4;yes;no;35;female;yes;;no;
