ID;item;crit;img;training;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14
1;Spaghetti;28;Bild1.png;1;-0,14857055;0,312328099034107354;-0,253184415;-0,033504293;0,206118222385674621;0,081758322;0,37437750982635198;-0,039375606;-0,167933559;-0,249604413;0,267812391272570727;-0,131655521;-0,057344445;-0,068978947
2;Rice;28;Bild2.png;0;-0,12664676;0,350038170478742583;-0,322393211;0,069597679;0,081542569729497347;0,27818489585352363;0,20111172099570912;0,12957745656551165;-0,154524498;-0,010257456;0,004443708;0,13310633164606306;0,17955220292490828;-0,027464512
3;Rigatoni;34;Bild3.png;0;-0,156795546;0,285359887542612600;-0,228004554;-0,078550063;0,263222457520768782;0,090085885;0,45642595586013107;-0,130173964;-0,055452638;-0,041144005;0,254141942246428776;-0,088458354;-0,063824318;-0,103791119
4;Bread roll;44;Bild4.png;0;-0,311658426;0,200380570423911358;-0,31832715;-0,282194323;0,190951847686796489;-0,080746769;-0,229169883;0,11760068546395554;0,063906353;-0,044216431;-0,130283091;0,06784203;-0,16633599;-0,057764007
5;Oat flakes;60;Bild5.png;1;-0,191198505;0,167452196589579161;-0,357693196;-0,04240058;0,047375601702708867;0,39978452892066157;-0,157331898;0,18017265042265115;0,089512239;0,078008379;0,119147834500556660;-0,014643284;0,15332506453735345;-0,153468859
6;Couscous;29;Bild6.png;0;-0,161383113;0,320669235538424191;-0,334576475;0,19702191887181694;0,095173829854417594;0,19897870608997859;0,17955557306918046;0,19270380291885400;-0,224770714;0,030209169;0,021542209644227452;-0,055371601;-0,042384552;-0,066277357
7;Bread;43;Bild7.png;0;-0,321156288;0,156968879311706111;-0,309686971;-0,267224688;0,288268731953400137;-0,079219508;-0,103128578;0,14580188842207331;0,1361352624808803;-0,115975668;-0,054108756;0,017060671;-0,062307112;0,037549691
8;Croissant;47;Bild8.png;0;-0,311510371;0,020969840551841378;-0,223236197;-0,361439195;0,242819723658274533;-0,240434803;-0,225224789;0,16019289722233757;0,058524401;0,02690533;0,039744390129124917;-0,131502419;-0,128619883;0,018259209
9;White toast;47;Bild9.png;0;-0,329508155;0,127067194119044047;-0,279975196;-0,232120658;0,360112129580418494;-0,07585036;-0,052350674;0,12400182565781953;0,1900975149148134;-0,055497921;-0,197889568;-0,04354331;-0,062736564;-0,066914761
10;Bulgur;24;Bild10.png;0;-0,158442514;0,369258028373382896;-0,411445015;-0,009011938;-0,010144788;0,34229643105193269;0,12324735501278611;0,093779392;0,031507836;0,017357536;0,106402226179105872;0,025121145;-0,004899536;-0,064432667
11;Wrap;52;Bild11.png;0;-0,271359751;0,254937416851975629;-0,271761429;-0,195608612;0,334637837855479348;-0,106889916;-0,086374957;0,066664732;0,077906249;0,033385298;-0,276664295;-0,152616547;0,057119337;0,13991777935147340
12;Potatoes;19;Bild12.png;0;0,2099879542064049;0,249775599829863915;-0,152956097;0,046820822;0,059448592800791497;-0,196470617;0,16155269518294363;-0,285492977;-0,128057838;-0,103148214;-0,08901823;0,093337987;0,16018046758392521;0,26357107565491728
13;Cucumber;2;Bild13.png;0;0,5069552759598086;0,061269646361114566;-0,004296822;0,13004926009697876;0,036768457265126488;-0,253652307;-0,107473831;0,088398706;0,084687093;0,060362873;0,024210486325489500;0,15712548730660064;0,16021099963159849;-0,16272486
14;Bell pepper;6;Bild14.png;0;0,4806295941294025;0,042904189473279411;0,028334648;0,093207257;0,010613768823857509;-0,28383845;-0,013314241;-0,026702665;0,1088289814906156;-0,279555023;0,182765385221757504;-0,100134305;-0,086066426;-0,16370177
15;Carrots;7;Bild15.png;0;0,4787813392163173;0,124778541964293568;-0,02188365;0,14425224578331980;-0,058916894;-0,287663719;-0,111410772;-0,033948227;-0,131545662;-0,119907357;0,211986258991400167;0,046303887;-0,001530765;0,001523512
16;Corn;11;Bild16.png;1;0,2701792418543167;0,300401098973174574;-0,34833036;0,13015487777985030;-0,101911673;0,12965098590468055;-0,068299692;0,027059729;-0,073178534;0,032126748;-0,118851708;0,022374265;-0,133752868;0,17946164797624897
17;Fried egg;2;Bild17.png;0;-0,205781766;0,181449641253350835;0,22648038314071686;0,11138364366304872;0,210666910594577622;-0,032525088;-0,303833736;-0,251804569;-0,340199743;-0,178551348;0,123450037470201390;-0,200117441;-0,075706028;-0,230913759
18;Broccoli;2;Bild18.png;0;0,4838408484368126;0,173403839022230305;-0,073272868;0,20819109873868347;-0,056743373;-0,274610687;-0,07883184;0,13774417004053854;-0,169673115;0,10563430011880810;0,014336555061315027;-0,041469749;0,014897239;-0,037935293
19;Tomatoes;3;Bild19.png;0;0,4979402532510769;0,036339537510697233;0,009350129;0,077281968;0,144701385034786356;-0,118486169;0,077891539;0,060097472;0,081280916;-0,283955374;0,167376480449627663;-0,020371487;0,037930855;-0,092635226
20;Iceberg lettuce;2;Bild20.png;0;0,3814816255675494;0,128289167721532260;-0,034700646;0,17589289475725706;-0,02897731;-0,367636248;-0,021294521;0,17218779191976891;-0,055194369;-0,006616376;-0,193949085;0,12186722714501713;0,11651046559565228;-0,27818754
