ID;item;crit;img;training;dim_1;dim_2;dim_3;dim_4;dim_5;dim_6;dim_7;dim_8;dim_9;dim_10
1;Aoudad;335;01.png;0;-0,567875004;-0,015278298;0,21664473;-0,26083557;-0,047523601;-0,193239541;0,043677581;-0,002896288;-0,120111709;0,076603096
2;Brazilian tapir;1095;02.png;0;-0,39246525;0,184645726;-0,071257486;-0,027939201;0,298437908;-0,240947667;-0,174659062;-0,244243705;0,00372553;-0,023814958
3;American bison;912;03.png;0;-0,553952556;-0,067230243;0,094128879;-0,232336922;0,206952468;0,030336757;0,129309866;0,098340283;-0,205171594;0,202010916
4;Giant anteater;1186;04.png;0;0,067507968;0,169332844;-0,082212746;0,037893159;0,284211843;-0,473083556;-0,060645868;-0,01934246;0,346181938;-0,129703611
5;Ibex;797;05.png;0;-0,557179005;0,020040951;0,214497546;-0,259487542;-0,106287412;-0,071999043;-0,062103552;-0,004846471;-0,196821207;0,151095616
6;Thomson's gazelle;365;06.png;0;-0,486128687;0,054985739;0,250231603;-0,258606835;-0,327150973;-0,075480952;0,046107534;-0,004061133;-0,246263412;0,046993753
7;Llama;800;07.png;0;-0,507948665;0,005686969;0,230723042;-0,16828828;-0,235280127;-0,201470942;0,080695974;0,12711195;0,259275409;-0,032711248
8;Kirk's dik-dik;213;08.png;0;-0,425597867;0,050769856;0,305744608;-0,260507261;-0,31070067;-0,16947472;-0,01998082;-0,066761293;-0,034749134;-0,063903783
9;Red panda;550;09.png;1;0,302717499;-0,027957793;0,160435793;0,315785659;0,072390266;-0,159980448;0,176437271;0,071010108;0,124173548;0,241335688
10;African buffalo;1475;10.png;1;-0,529111576;-0,083445133;0,064843327;-0,198996273;0,282590895;0,030612581;0,120385724;0,005064875;-0,303015701;0,221101707
11;Bactrian camel;1278;11.png;0;-0,507283249;-0,022911539;0,109281059;-0,293316765;0,044709396;-0,082300027;0,227302195;0,280848111;0,288901209;0,015897117
12;Dromedary;1095;12.png;0;-0,505488014;0,016834512;0,172035591;-0,192553661;-0,081601284;-0,121849397;0,013945719;0,079625585;0,425394089;-0,052735314
13;Mule deer;478;13.png;0;-0,473867601;0,070913534;0,269430993;-0,191143376;-0,314316756;-0,092453634;-0,003408903;-0,073803008;-0,149092911;-0,1264923
14;Caribou and reindeer;662;14.png;0;-0,543538787;0,02575767;0,194424437;-0,225441708;-0,146789323;-0,181859224;0,069592829;0,037792645;-0,264604326;0,062586353
15;Giraffe;1278;15.png;0;-0,424130938;-0,003013337;0,127984192;-0,205427098;-0,383765542;0,190355478;-0,233020775;0,193794418;0,365107749;-0,013205413
16;Hippopotamus;1279;16.png;0;-0,401798898;0,069564406;-0,393965484;0,0313964;0,458724743;0,071693313;-0,082483362;-0,183378199;0,003685538;-0,042045465
17;Wart hog;578;17.png;1;-0,51542139;0,039652022;-0,047057988;-0,104382482;0,40459163;-0,034153341;-0,183072783;-0,147492694;-0,164261689;0,113125937
18;Wild boar;334;18.png;0;-0,35367168;0,106645386;-0,062170253;-0,006211169;0,508808647;-0,199878464;-0,110355953;-0,139376164;-0,085756128;-0,107917292
19;Gray wolf;669;19.png;0;-0,328921966;0,00425559;0,185284206;0,555870595;-0,178009697;-0,141697669;0,11292514;-0,088682616;-0,016262955;-0,033398265
20;African wild dog;639;20.png;0;-0,300310986;0,033325211;0,196634797;0,424809489;-0,136703426;-0,235651546;-0,256228361;-0,190059566;-0,045052223;-0,102578756
21;Raccoon dog;304;21.png;0;0,172531368;0,05710427;0,182419121;0,38870922;0,011566026;-0,212497112;0,146380414;-0,114179369;0,033650967;0,277520355
22;Bat-eared fox;365;22.png;0;-0,032975021;0,093129575;0,297879648;0,360773398;-0,159860852;-0,262856728;0,052625796;-0,175177657;-0,125161616;0,000541565
23;Cheetah;456;23.png;0;-0,362292575;-0,05928482;0,147492923;0,493090755;-0,218901179;0,258028433;-0,17567163;0,105473801;0,066142119;-0,074853465
24;Lion;1095;24.png;0;-0,390526128;-0,111510303;0,14598907;0,508473107;0,025961212;0,286226139;-0,051428778;0,107668697;0,029586284;-0,125028487
25;Leopard;937;25.png;0;-0,32629296;-0,053977806;0,126301986;0,566979276;-0,076232125;0,294526062;-0,116704439;0,071563279;0,064375145;0,014517969
26;Tiger;1268;26.png;1;-0,354383715;-0,03424368;0,103767103;0,494717439;-0,080106452;0,393490504;-0,055197951;0,137222336;-0,041840879;-0,075687668
27;Dwarf mongoose;456;27.png;0;0,387851378;0,327681834;0,092064604;0,04378266;0,144763142;-0,08896225;0,064593314;0,090414633;0,030705891;0,034679933
28;Meerkat;365;28.png;0;0,432123613;0,142216734;0,081931843;-0,080249646;-0,137717087;0,039728907;0,1269959;-0,127331042;0,070793991;0,310529807
29;Spotted hyena;1095;29.png;0;-0,256261023;-0,081998768;0,195071436;0,540238529;-0,084158068;-0,062123833;-0,172890235;-0,06551717;-0,021579591;0,141454363
30;Sea otter;974;30.png;0;0,206161424;0,267048994;-0,402978402;0,017746019;-0,15648921;0,026711158;0,342123991;0,206844158;0,073145333;0,131774492
31;Least weasel;120;31.png;0;0,409103542;0,255122378;0,068659436;0,105087252;-0,077686237;-0,012435376;0,149467796;0,106392828;-0,010718026;0,249692371
32;Steller sea lion;1780;32.png;0;-0,125859865;0,203466123;-0,771136288;0,051139203;-0,124327667;-0,048382054;0,156073006;-0,091819157;-0,061886477;0,025082668
33;Harbor seal;1095;33.png;0;-0,047891003;0,225304256;-0,74942506;0,060511396;-0,222343326;-0,014659272;0,139556548;0,102699012;-0,125760996;0,076079694
34;Common raccoon;365;34.png;0;0,405631696;0,107149183;0,157514817;0,162618951;0,056522667;-0,259007106;-0,034207735;-0,119961464;0,092597055;0,130667533
35;Brown bear;1313;35.png;0;-0,243369459;-0,191108975;-0,020997745;0,323545518;0,263839551;0,076079055;0,457363567;0,008502759;-0,023911561;-0,163560928
36;Polar bear;1734;36.png;0;-0,335007082;-0,051799347;-0,192464061;0,432115125;0,144685262;0,064410507;0,363807473;0,018189553;-0,12397606;-0,195496133
37;Humpback whale;1643;37.png;0;-0,116647286;0,097752948;-0,680517541;-0,031403598;-0,440704207;0,0785929;-0,166075372;-0,329364021;0,119035023;0,005744721
38;Bottlenosed dolphin;2831;38.png;1;-0,141171608;0,111649356;-0,752407325;-0,04115117;-0,396023875;0,154951485;-0,083860959;-0,239672441;0,023701223;-0,025577178
39;Australian tiger cat;340;39.png;0;0,335229472;0,380372425;0,134933049;0,028092757;0,044228235;0,025972991;-0,305289661;-0,014207585;0,073373798;0,043068704
40;Tasmanian devil;730;40.png;0;0,396461575;0,293297209;-0,067823544;0,056029004;0,097928329;-0,078771526;-0,193435382;0,069667908;-0,163526894;0,072302712
41;Western gray kangaroo;670;41.png;1;-0,03803165;0,091105019;0,231104651;-0,245394567;-0,366292336;0,020098406;0,039743578;-0,441361035;0,051478411;-0,235828206
42;Quokka;252;42.png;0;0,373297367;0,3410177;0,171251561;-0,00045601;0,09556414;-0,117174049;-0,034255219;-0,089117479;0,004133551;-0,108151728
43;Sugar glider;236;43.png;1;0,410669164;0,17191119;0,108939548;-0,184152201;0,03005364;0,405241735;-0,041469423;0,095752455;0,107080126;0,202659774
44;Brush-tailed possum;315;44.png;0;0,407660804;0,102178375;0,287877946;0,122156902;0,115142546;0,096179159;0,097793314;-0,046167902;-0,027191809;0,004382549
45;Koala;646;45.png;0;0,36734917;-0,196255957;0,069528269;-0,009523973;0,010069307;-0,069012933;0,396674952;-0,143049269;0,225039568;0,004790597
46;Mountain hare;266;46.png;0;0,245419441;0,279971531;0,181920417;-0,143855553;-0,132901294;0,086370154;0,33192363;-0,289262329;-0,053067159;-0,277069968
47;European rabbit;730;47.png;0;0,310432699;0,380774671;0,179385544;-0,162208384;-0,104256013;0,137451952;0,25728462;-0,217946781;-0,063434239;-0,15631176
48;Duck-billed platypus;548;48.png;0;0,023745135;0,270419421;-0,637677324;0,018205291;-0,143492573;-0,271925753;-0,006841739;0,259124658;0,088129211;0,057975398
49;Short-beaked echidna;548;49.png;0;0,128382942;0,290016782;-0,1212802;0,016445645;0,229010465;-0,372275857;-0,145982863;0,301475522;0,22059503;-0,370818129
50;Horse;914;50.png;0;-0,553411477;-0,012345417;0,154339572;-0,178811899;-0,042415548;0,118831872;0,154844955;0,369963784;0,040535079;-0,03644387
51;Quagga;900;51.png;0;-0,561530922;0,002124315;0,17702041;-0,081319254;-0,148467076;0,113375484;-0,177256787;0,305849546;-0,043419815;0,153302157
52;White rhinoceros;1643;52.png;0;-0,446349852;-0,028167718;-0,145513455;-0,085322421;0,528253606;0,223600695;0,017910335;-0,185531628;-0,001920399;0,163844143
53;Central American spider monkey;1825;53.png;0;0,25623167;-0,627473714;-0,090222663;-0,080061348;0,032755652;0,013585928;-0,073477446;-0,054632616;-0,063474927;-0,029519087
54;White-tufted-ear marmoset;477;54.png;0;0,465262059;-0,231460198;0,111704381;0,018859201;0,002402745;-0,072403705;-0,16289477;0,026074448;-0,021809456;0,121211053
55;Midas tamarin;608;55.png;0;0,421122946;-0,069484592;-0,028342963;0,028831114;-0,011750151;-0,136019092;-0,274686158;0,185970845;-0,152550775;0,043521628
56;Tufted capu;1703;56.png;0;0,310414664;-0,567886116;0,005496666;-0,023009731;-0,008452243;-0,026883171;-0,03817302;-0,013025935;-0,026223762;0,00046811
57;De Brazza's monkey;1611;57.png;0;0,293810766;-0,566216961;-0,042631902;-0,041034374;0,013368421;-0,149121771;0,107183346;0,023856874;-0,046560358;-0,068274948
58;Guereza;1461;58.png;0;0,271950406;-0,59849736;-0,114699316;-0,087433498;0,045829357;-0,067950659;0,072030019;0,044741384;-0,056666365;-0,093446417
59;Stump-tailed macaque;1186;59.png;1;0,291791942;-0,602911811;-0,058704922;-0,080317333;-0,034365941;0,040937073;-0,033187532;0,06042211;0,032604043;0,013703969
60;Proboscis monkey;1460;60.png;0;0,286151067;-0,517209592;-0,009502294;-0,04338515;-0,039473837;-0,036794442;-0,186333341;-0,015329338;-0,053104546;0,014037437
61;Japanese macaque;1483;61.png;0;0,280037787;-0,603929203;-0,078847079;-0,130401946;-0,071209182;-0,000149824;0,056234728;-0,02156593;0,036141833;-0,08873748
62;Gorilla;2829;62.png;0;0,068921729;-0,660354055;-0,141751764;-0,033950495;0,080446913;0,094372444;0,006089854;0,087876142;-0,081379425;-0,210639442
63;Chimpanzee;3376;63.png;0;0,217084715;-0,647516202;-0,123714977;-0,109617302;-0,049337813;0,024003592;-0,080461825;0,029295009;-0,026946022;-0,089432485
64;Orangutan;2555;64.png;0;0,133959102;-0,661928089;-0,123629593;-0,082695402;0,004736258;0,067808494;0,039234425;0,03250477;-0,057774446;-0,249563177
65;Brown lemur;509;65.png;0;0,474233492;-0,110392473;0,049917681;0,003400471;-0,004497817;-0,049660549;0,005276521;-0,014981106;0,107712739;0,254935833
66;Black lemur;540;66.png;0;0,42329972;-0,298511072;0,078039605;-0,044492269;-0,035228368;0,056203114;-0,213187702;-0,087129581;0,044768985;0,090669262
67;Ring-tailed lemur;595;67.png;0;0,446949828;-0,240237358;0,107211106;-0,025315238;-0,099284878;-0,008312309;-0,06696906;-0,130111117;0,060916875;0,208269615
68;Slender loris;380;68.png;1;0,506379734;-0,201072665;0,117416821;-0,114624509;0,077839392;0,124833672;0,10473096;0,013749194;-0,029703436;0,099581878
69;white-faced saki;775;69.png;0;0,403596414;-0,405982731;-0,059566678;-0,106591652;0,027972011;-0,097568311;-0,12049262;0,15215131;-0,105120233;-0,096445906
70;African bush elephant;4018;70.png;1;-0,438885083;-0,053936583;-0,121460371;-0,117026318;0,432625147;0,281997481;-0,024447738;-0,160007793;0,309639314;0,039386067
71;Naked mole-rat;228;71.png;0;0,16876638;0,392388806;-0,375917746;-0,009014763;0,085949227;-0,050008314;-0,071532412;0,359804416;-0,277081313;-0,033592078
72;Guinea pig;66;72.png;0;0,314527101;0,449333411;0,057642601;-0,076098346;0,173852417;0,079798005;0,041456698;0,16375214;-0,124353006;-0,309578526
73;Degu;182;73.png;0;0,396535202;0,433309397;0,170467604;-0,079483811;0,02415965;0,177757845;-0,051872282;-0,004074106;-0,09938219;-0,094149808
74;Lesser Egyptian jerboa;327;74.png;0;0,354940078;0,377031101;0,1483533;-0,184586713;-0,068771361;0,268981054;-0,235776353;-0,09989313;-0,094468918;-0,115833463
75;Long-tailed field mouse;71;75.png;0;0,380520098;0,432007667;0,156956085;-0,146650548;0,082628653;0,238811699;-0,134673946;0,051359105;-0,048502705;-0,155334484
76;Nutria;152;76.png;1;0,336859815;0,449840292;-0,012975891;-0,037573293;0,110007471;-0,065988718;-0,174664511;0,133068472;-0,052891735;-0,111723952
77;Eurasian red squirrel;296;77.png;1;0,398001544;0,332627373;0,176860799;-0,079487806;0,015035401;0,23867464;0,239429166;0,050114417;0,017483912;0,038252277
78;Siberian chipmunk;350;78.png;0;0,447464889;0,339010642;0,214068461;-0,122573767;0,064509151;0,133655962;0,02976489;0,013892238;0,049763106;-0,047356374
79;Dugong;3470;79.png;0;-0,116359645;0,201346742;-0,799627014;0,012467964;-0,197563573;0,023099142;-0,024442762;-0,034648042;-0,022606028;0,098722842
80;Asiatic elephant;3287;80.png;0;-0,469150932;-0,044590226;-0,101372796;-0,235023067;0,367315308;0,219079012;-0,103172539;-0,189017153;0,269584534;0,112839892
