ID;mammal;img;category;family;mammal_lat;mammal_eng;female_maturity (days);average_weight (g);average_snout_vent_length (cm);average_lifespan (years);average_litter_size;habitat_type;diet;has_fur;has_legs;has_tail;main_color
1;Mähnenspringer;01.png;Artiodactyla;Bovidae;Ammotragus lervia;Aoudad;335;92500;155;21;1;Savanna;Herbivore;Yes;Yes;Yes;Red(ish)
2;Flachlandtapir;02.png;Perissodactyla;Tapiridae;Tapirus terrestris;Brazilian tapir;1095;225000;225;35;1;Forest;Omnivore;Yes;Yes;Yes;Brown
3;Amerikanischer Bison;03.png;Artiodactyla;Bovidae;Bison bison;American bison;912;624577;290;27;1;Grassland;Herbivore;Yes;Yes;Yes;Brown
4;Großer Ameisenbär;04.png;Pilosa;Myrmecophagidae;Myrmecophaga tridactyla;Giant anteater;1186;29532;151;26;1;Savanna;Insectivore;Yes;Yes;Yes;Grey
5;Steinboc;05.png;Artiodactyla;Bovidae;Capra ibex;Ibex;797;77000;170;21;1;Mountains;Herbivore;Yes;Yes;Yes;Brown
6;Thomson-Gazelle;06.png;Artiodactyla;Bovidae;Eudorcas thomsonii;Thomson's gazelle;365;23198;93;15;1;Savanna;Herbivore;Yes;Yes;Yes;Yellow or Orangeish
7;Llama;07.png;Mammalia;Camelidae;Lama glama;Llama;800;112500;175;29;1;Savanna;Herbivore;Yes;Yes;Yes;Brown
8;Kirk-Dikdik;08.png;Artiodactyla;Bovidae;Madoqua kirkii;Kirk's dik-dik;213;4833;69;17;1;Savanna;Herbivore;Yes;Yes;Yes;Brown
9;Westlicher Kleiner Panda;09.png;Carnivora;Ailuridae;Ailurus fulgens;Red panda;550;4748;61;18;2;Forest;Herbivore;Yes;Yes;Yes;Red(ish)
10;Kaffernbüffel;10.png;Artiodactyla;Bovidae;Syncerus caffer;African buffalo;1475;646333;296;30;1;Savanna;Herbivore;Yes;Yes;Yes;Black
11;Trampeltier;11.png;Artiodactyla;Camelidae;Camelus bactrianus;Bactrian camel;1278;475000;345;35;1;Savanna;Herbivore;Yes;Yes;Yes;Brown
12;Dromedar;12.png;Artiodactyla;Camelidae;Camelus dromedarius;Dromedary;1095;434000;345;34;1;Savanna;Herbivore;Yes;Yes;Yes;Brown
13;Maultierhirsch;13.png;Artiodactyla;Cervidae;Odocoileus hemionus;Mule deer;478;57000;181;22;2;Mountains;Herbivore;Yes;Yes;Yes;Brown
14;Rentier;14.png;Artiodactyla;Cervidae;Rangifer tarandus;Caribou and reindeer;662;101250;221;20;1;Tundra;Herbivore;Yes;Yes;Yes;Grey
15;Giraffe;15.png;Artiodactyla;Giraffidae;Giraffa camelopardalis;Giraffe;1278;800000;445;36;1;Savanna;Herbivore;Yes;Yes;Yes;Brown
16;Nilpferd;16.png;Artiodactyla;Hippopotamidae;Hippopotamus amphibius;Hippopotamus;1279;2640000;505;55;1;Savanna;Herbivore;No;Yes;Yes;Brown
17;Warzenschwein;17.png;Artiodactyla;Suidae;Phacochoerus africanus;Wart hog;578;91250;136;21;3;Savanna;Omnivore;No;Yes;Yes;Grey
18;Wildschwein;18.png;Artiodactyla;Suidae;Sus scrofa;Wild boar;334;135000;157;21;6;Forest;Omnivore;Yes;Yes;Yes;Brown
19;Wolf;19.png;Carnivora;Canidae;Canis lupus;Gray wolf;669;29191;127;20;5;Forest;Carnivore;Yes;Yes;Yes;Grey
20;Afrikanischer Wildhund;20.png;Carnivora;Canidae;Lycaon pictus;African wild dog;639;24250;102;15;7;Savanna;Carnivore;Yes;Yes;Yes;Yellow or Orangeish
21;Marderhund;21.png;Carnivora;Canidae;Nyctereutes procyonoides;Raccoon dog;304;4232;56;13;6;Forest;Omnivore;Yes;Yes;Yes;Black
22;Löffelhund;22.png;Carnivora;Canidae;Otocyon megalotis;Bat-eared fox;365;4150;60;14;4;Savanna;Insectivore;Yes;Yes;Yes;Grey
