,mean,sd,hdi_025,hdi_975,paramter,model,ID_ind,domain
0,0.185,0.111,0.004,0.399,alpha,RULEXJ,0,Countries
1,74.008,5.973,61.873,87.283,w_CAM[0],RULEXJ,0,Countries
2,6.994,12.046,-16.375,31.33,w_CAM[1],RULEXJ,0,Countries
3,-6.195,12.397,-32.082,18.533,w_CAM[2],RULEXJ,0,Countries
4,15.591,11.839,-7.828,39.565,w_CAM[3],RULEXJ,0,Countries
5,-6.641,11.568,-29.274,17.53,w_CAM[4],RULEXJ,0,Countries
6,1.584,11.035,-20.075,23.759,w_CAM[5],RULEXJ,0,Countries
7,-15.797,12.62,-39.909,10.192,w_CAM[6],RULEXJ,0,Countries
8,-9.631,12.354,-33.415,15.578,w_CAM[7],RULEXJ,0,Countries
9,18.044,13.323,-8.11,45.193,w_CAM[8],RULEXJ,0,Countries
10,9.986,13.126,-17.318,35.275,w_CAM[9],RULEXJ,0,Countries
11,-2.742,13.874,-30.106,25.221,w_CAM[10],RULEXJ,0,Countries
12,3.033,2.567,0.0,7.412,c,RULEXJ,0,Countries
13,0.803,0.932,0.0,2.817,w_GCM[1],RULEXJ,0,Countries
14,1.135,0.971,0.0,3.094,w_GCM[2],RULEXJ,0,Countries
15,1.061,0.952,0.0,3.041,w_GCM[3],RULEXJ,0,Countries
16,0.439,0.557,0.0,1.567,w_GCM[4],RULEXJ,0,Countries
17,0.945,0.866,0.0,2.7,w_GCM[5],RULEXJ,0,Countries
18,1.388,1.144,0.0,3.63,w_GCM[6],RULEXJ,0,Countries
19,0.841,0.812,0.0,2.525,w_GCM[7],RULEXJ,0,Countries
20,1.223,1.069,0.0,3.408,w_GCM[8],RULEXJ,0,Countries
21,1.564,1.134,0.0,3.744,w_GCM[9],RULEXJ,0,Countries
22,0.597,0.632,0.0,1.868,w_GCM[10],RULEXJ,0,Countries
23,5.255,0.484,4.338,6.216,sigma,RULEXJ,0,Countries
24,0.368,0.153,0.108,0.689,alpha,RULEXJ,1,Countries
25,64.052,5.225,53.924,71.394,w_CAM[0],RULEXJ,1,Countries
26,-23.672,11.264,-46.846,-2.248,w_CAM[1],RULEXJ,1,Countries
27,-6.49,9.222,-23.721,14.111,w_CAM[2],RULEXJ,1,Countries
28,5.836,8.068,-9.278,23.02,w_CAM[3],RULEXJ,1,Countries
29,-2.942,9.175,-21.414,15.795,w_CAM[4],RULEXJ,1,Countries
30,9.203,9.231,-8.482,28.392,w_CAM[5],RULEXJ,1,Countries
31,10.333,9.316,-8.485,28.599,w_CAM[6],RULEXJ,1,Countries
32,-9.084,10.234,-29.831,11.157,w_CAM[7],RULEXJ,1,Countries
33,-0.966,10.075,-21.983,18.542,w_CAM[8],RULEXJ,1,Countries
34,-11.129,10.182,-31.915,8.562,w_CAM[9],RULEXJ,1,Countries
35,3.638,10.715,-17.83,25.124,w_CAM[10],RULEXJ,1,Countries
36,5.945,5.338,0.005,15.623,c,RULEXJ,1,Countries
37,1.57,1.14,0.002,3.785,w_GCM[1],RULEXJ,1,Countries
38,1.052,0.967,0.0,3.044,w_GCM[2],RULEXJ,1,Countries
39,1.178,1.026,0.0,3.246,w_GCM[3],RULEXJ,1,Countries
40,0.774,0.764,0.0,2.315,w_GCM[4],RULEXJ,1,Countries
