,mean,sd,hdi_025,hdi_975,paramter,model,ID_ind,domain
0,0.751,0.149,0.48,1.0,alpha,RULEXJ,0,Food
1,36.004,4.495,27.388,45.249,w_CAM[0],RULEXJ,0,Food
2,-45.162,11.453,-68.502,-22.893,w_CAM[1],RULEXJ,0,Food
3,5.682,14.051,-20.748,35.824,w_CAM[2],RULEXJ,0,Food
4,-80.641,13.689,-107.583,-53.745,w_CAM[3],RULEXJ,0,Food
5,36.56,13.659,10.409,64.781,w_CAM[4],RULEXJ,0,Food
6,-1.567,12.638,-28.042,22.439,w_CAM[5],RULEXJ,0,Food
7,18.589,15.557,-13.391,49.49,w_CAM[6],RULEXJ,0,Food
8,-11.127,17.401,-45.111,22.971,w_CAM[7],RULEXJ,0,Food
9,-15.475,14.197,-43.374,12.694,w_CAM[8],RULEXJ,0,Food
10,-38.959,16.329,-71.617,-7.725,w_CAM[9],RULEXJ,0,Food
11,48.202,19.802,8.83,87.008,w_CAM[10],RULEXJ,0,Food
12,40.687,16.994,7.461,73.457,w_CAM[11],RULEXJ,0,Food
13,-43.138,19.798,-83.914,-5.674,w_CAM[12],RULEXJ,0,Food
14,31.709,17.395,-2.579,65.556,w_CAM[13],RULEXJ,0,Food
15,65.434,19.755,25.595,103.428,w_CAM[14],RULEXJ,0,Food
16,29.941,20.56,0.0,68.279,c,RULEXJ,0,Food
17,0.629,0.737,0.0,2.099,w_GCM[1],RULEXJ,0,Food
18,0.621,0.646,0.0,1.896,w_GCM[2],RULEXJ,0,Food
19,1.086,0.975,0.002,3.088,w_GCM[3],RULEXJ,0,Food
20,0.736,0.739,0.0,2.249,w_GCM[4],RULEXJ,0,Food
21,0.768,0.849,0.0,2.475,w_GCM[5],RULEXJ,0,Food
22,1.138,1.059,0.0,3.29,w_GCM[6],RULEXJ,0,Food
23,1.695,1.471,0.003,4.703,w_GCM[7],RULEXJ,0,Food
24,0.795,0.769,0.0,2.395,w_GCM[8],RULEXJ,0,Food
25,0.624,0.725,0.0,2.07,w_GCM[9],RULEXJ,0,Food
26,1.024,0.976,0.0,3.02,w_GCM[10],RULEXJ,0,Food
27,1.26,1.135,0.0,3.602,w_GCM[11],RULEXJ,0,Food
28,0.804,0.844,0.0,2.476,w_GCM[12],RULEXJ,0,Food
29,1.885,1.432,0.0,4.633,w_GCM[13],RULEXJ,0,Food
30,0.964,0.997,0.0,3.02,w_GCM[14],RULEXJ,0,Food
31,12.487,4.395,3.677,21.541,sigma,RULEXJ,0,Food
32,0.277,0.18,0.002,0.631,alpha,RULEXJ,1,Food
33,0.134,15.3,-32.175,25.513,w_CAM[0],RULEXJ,1,Food
34,-62.205,27.682,-113.984,-3.707,w_CAM[1],RULEXJ,1,Food
35,-28.0,18.417,-64.316,8.519,w_CAM[2],RULEXJ,1,Food
36,-19.478,21.642,-61.782,22.855,w_CAM[3],RULEXJ,1,Food
37,-83.439,29.666,-140.735,-25.208,w_CAM[4],RULEXJ,1,Food
38,-20.888,22.64,-65.404,23.701,w_CAM[5],RULEXJ,1,Food
39,-27.66,22.589,-71.23,17.187,w_CAM[6],RULEXJ,1,Food
40,36.016,23.419,-10.305,81.663,w_CAM[7],RULEXJ,1,Food
41,-1.862,23.205,-50.755,41.79,w_CAM[8],RULEXJ,1,Food
42,-11.402,20.022,-51.672,26.87,w_CAM[9],RULEXJ,1,Food
43,4.419,26.777,-48.233,56.27,w_CAM[10],RULEXJ,1,Food
44,-30.575,20.748,-71.756,9.208,w_CAM[11],RULEXJ,1,Food
45,-9.841,23.401,-56.287,35.915,w_CAM[12],RULEXJ,1,Food
46,-5.403,23.413,-52.34,39.578,w_CAM[13],RULEXJ,1,Food
47,19.849,22.674,-24.034,65.425,w_CAM[14],RULEXJ,1,Food
48,48.87,22.981,13.975,96.271,c,RULEXJ,1,Food
49,0.777,0.687,0.0,2.115,w_GCM[1],RULEXJ,1,Food
50,0.711,0.686,0.0,2.096,w_GCM[2],RULEXJ,1,Food
51,0.939,0.822,0.002,2.553,w_GCM[3],RULEXJ,1,Food
52,2.956,1.567,0.055,5.798,w_GCM[4],RULEXJ,1,Food
53,0.644,0.705,0.0,2.074,w_GCM[5],RULEXJ,1,Food
54,0.939,0.914,0.0,2.804,w_GCM[6],RULEXJ,1,Food
55,2.085,1.631,0.002,5.381,w_GCM[7],RULEXJ,1,Food
56,0.629,0.634,0.0,1.906,w_GCM[8],RULEXJ,1,Food
57,0.759,0.735,0.0,2.22,w_GCM[9],RULEXJ,1,Food
58,0.566,0.703,0.0,2.025,w_GCM[10],RULEXJ,1,Food
59,0.744,0.801,0.0,2.425,w_GCM[11],RULEXJ,1,Food
60,0.73,0.674,0.0,2.052,w_GCM[12],RULEXJ,1,Food
61,0.902,0.837,0.0,2.601,w_GCM[13],RULEXJ,1,Food
62,0.662,0.754,0.0,2.206,w_GCM[14],RULEXJ,1,Food
63,12.656,3.791,5.031,20.363,sigma,RULEXJ,1,Food
64,0.456,0.128,0.22,0.723,alpha,RULEXJ,2,Food
65,3.63,9.147,-13.859,19.544,w_CAM[0],RULEXJ,2,Food
66,-0.178,19.461,-36.219,41.549,w_CAM[1],RULEXJ,2,Food
67,-4.962,17.339,-39.254,28.259,w_CAM[2],RULEXJ,2,Food
68,2.499,18.984,-33.458,41.565,w_CAM[3],RULEXJ,2,Food
69,-18.861,24.581,-65.608,31.657,w_CAM[4],RULEXJ,2,Food
70,-14.22,17.827,-49.305,20.74,w_CAM[5],RULEXJ,2,Food
71,-27.542,19.578,-66.049,10.916,w_CAM[6],RULEXJ,2,Food
72,28.324,20.91,-13.796,68.554,w_CAM[7],RULEXJ,2,Food
73,11.31,20.85,-31.139,51.114,w_CAM[8],RULEXJ,2,Food
74,-19.31,20.11,-58.414,19.795,w_CAM[9],RULEXJ,2,Food
75,43.915,24.119,-3.501,91.526,w_CAM[10],RULEXJ,2,Food
76,-5.562,20.57,-47.617,32.679,w_CAM[11],RULEXJ,2,Food
77,-38.898,23.563,-85.982,6.716,w_CAM[12],RULEXJ,2,Food
78,-49.676,22.504,-91.755,-3.352,w_CAM[13],RULEXJ,2,Food
79,-4.567,22.828,-49.781,39.871,w_CAM[14],RULEXJ,2,Food
80,28.296,17.685,3.478,62.175,c,RULEXJ,2,Food
81,0.476,0.541,0.0,1.564,w_GCM[1],RULEXJ,2,Food
