,mean,sd,hdi_025,hdi_975,paramter,model,ID_ind,domain
0,0.157,0.239,0.0,0.761,alpha,RULEXJ,0,Mammals
1,198.689,536.572,-852.183,1090.161,w_CAM[0],RULEXJ,0,Mammals
2,-3385.173,1926.028,-6986.559,-376.05,w_CAM[1],RULEXJ,0,Mammals
3,-1940.959,795.687,-3634.115,-426.729,w_CAM[2],RULEXJ,0,Mammals
4,-450.662,1180.96,-2699.028,1931.028,w_CAM[3],RULEXJ,0,Mammals
5,-1237.507,1119.424,-3280.576,881.75,w_CAM[4],RULEXJ,0,Mammals
6,1367.325,1212.772,-878.118,3770.795,w_CAM[5],RULEXJ,0,Mammals
7,732.152,1038.987,-1350.575,2687.39,w_CAM[6],RULEXJ,0,Mammals
8,329.513,973.711,-1588.484,2230.458,w_CAM[7],RULEXJ,0,Mammals
9,-473.663,1227.833,-2943.725,1916.937,w_CAM[8],RULEXJ,0,Mammals
10,640.515,1095.034,-1434.256,2696.203,w_CAM[9],RULEXJ,0,Mammals
11,-1025.172,1210.831,-3448.575,1344.783,w_CAM[10],RULEXJ,0,Mammals
12,41.967,23.767,-0.0,84.676,c,RULEXJ,0,Mammals
13,0.635,0.593,0.0,1.814,w_GCM[1],RULEXJ,0,Mammals
14,1.352,1.105,0.002,3.595,w_GCM[2],RULEXJ,0,Mammals
15,0.383,0.388,0.001,1.13,w_GCM[3],RULEXJ,0,Mammals
16,0.65,0.785,0.0,2.237,w_GCM[4],RULEXJ,0,Mammals
17,0.767,0.843,0.0,2.538,w_GCM[5],RULEXJ,0,Mammals
18,1.261,0.932,0.001,3.092,w_GCM[6],RULEXJ,0,Mammals
19,1.804,1.175,0.0,3.975,w_GCM[7],RULEXJ,0,Mammals
20,1.016,0.785,0.001,2.544,w_GCM[8],RULEXJ,0,Mammals
21,0.553,0.539,0.0,1.642,w_GCM[9],RULEXJ,0,Mammals
22,1.671,1.245,0.003,4.116,w_GCM[10],RULEXJ,0,Mammals
23,392.927,188.438,-0.0,707.179,sigma,RULEXJ,0,Mammals
24,0.062,0.097,0.0,0.257,alpha,RULEXJ,1,Mammals
25,650.986,435.133,-239.28,1476.824,w_CAM[0],RULEXJ,1,Mammals
26,-2327.17,1370.653,-5303.151,150.157,w_CAM[1],RULEXJ,1,Mammals
27,-1512.009,939.901,-3336.023,437.083,w_CAM[2],RULEXJ,1,Mammals
28,-478.091,1038.552,-2621.198,1450.435,w_CAM[3],RULEXJ,1,Mammals
29,-580.433,1020.216,-2657.039,1411.618,w_CAM[4],RULEXJ,1,Mammals
30,-400.069,955.157,-2205.847,1519.75,w_CAM[5],RULEXJ,1,Mammals
31,255.933,815.717,-1318.86,1842.067,w_CAM[6],RULEXJ,1,Mammals
32,-919.423,908.377,-2718.463,873.737,w_CAM[7],RULEXJ,1,Mammals
33,-450.72,880.061,-2298.246,1181.907,w_CAM[8],RULEXJ,1,Mammals
34,400.662,911.799,-1450.421,2163.33,w_CAM[9],RULEXJ,1,Mammals
35,347.275,794.532,-1192.55,1883.235,w_CAM[10],RULEXJ,1,Mammals
36,28.542,13.292,8.95,54.321,c,RULEXJ,1,Mammals
37,0.24,0.211,0.0,0.603,w_GCM[1],RULEXJ,1,Mammals
38,0.418,0.522,0.0,1.448,w_GCM[2],RULEXJ,1,Mammals
39,0.19,0.183,0.0,0.532,w_GCM[3],RULEXJ,1,Mammals
40,1.965,1.334,0.0,4.536,w_GCM[4],RULEXJ,1,Mammals
41,0.922,0.642,0.017,2.16,w_GCM[5],RULEXJ,1,Mammals
42,1.228,0.636,0.233,2.538,w_GCM[6],RULEXJ,1,Mammals
43,1.069,0.759,0.0,2.533,w_GCM[7],RULEXJ,1,Mammals
44,1.392,0.858,0.022,3.018,w_GCM[8],RULEXJ,1,Mammals
45,0.882,0.487,0.101,1.872,w_GCM[9],RULEXJ,1,Mammals
46,1.725,1.18,0.004,3.971,w_GCM[10],RULEXJ,1,Mammals
47,262.329,114.782,-0.0,447.86,sigma,RULEXJ,1,Mammals
48,0.048,0.085,0.0,0.213,alpha,RULEXJ,2,Mammals
49,1061.099,472.75,64.459,1946.214,w_CAM[0],RULEXJ,2,Mammals
50,-1250.774,1329.789,-3794.252,1412.896,w_CAM[1],RULEXJ,2,Mammals
51,-1137.541,1012.956,-3140.745,876.229,w_CAM[2],RULEXJ,2,Mammals
52,19.54,1128.841,-2090.656,2320.488,w_CAM[3],RULEXJ,2,Mammals
53,185.838,1003.276,-1801.532,2156.624,w_CAM[4],RULEXJ,2,Mammals
54,522.99,935.656,-1218.394,2424.879,w_CAM[5],RULEXJ,2,Mammals
55,48.126,832.784,-1553.475,1703.102,w_CAM[6],RULEXJ,2,Mammals
56,-22.802,879.166,-1714.51,1730.802,w_CAM[7],RULEXJ,2,Mammals
57,-211.51,864.302,-1959.768,1447.302,w_CAM[8],RULEXJ,2,Mammals
58,730.086,846.484,-884.578,2408.531,w_CAM[9],RULEXJ,2,Mammals
59,-116.724,832.296,-1748.127,1517.526,w_CAM[10],RULEXJ,2,Mammals
60,15.506,6.55,5.013,27.317,c,RULEXJ,2,Mammals
61,0.387,0.283,0.0,0.912,w_GCM[1],RULEXJ,2,Mammals
62,1.167,0.984,0.012,3.188,w_GCM[2],RULEXJ,2,Mammals
63,0.261,0.231,0.0,0.707,w_GCM[3],RULEXJ,2,Mammals
64,1.294,1.117,0.001,3.499,w_GCM[4],RULEXJ,2,Mammals
65,1.259,0.914,0.002,3.064,w_GCM[5],RULEXJ,2,Mammals
66,1.227,0.83,0.031,2.882,w_GCM[6],RULEXJ,2,Mammals
67,1.208,0.919,0.0,2.979,w_GCM[7],RULEXJ,2,Mammals
68,1.513,0.911,0.033,3.225,w_GCM[8],RULEXJ,2,Mammals
69,0.463,0.379,0.0,1.19,w_GCM[9],RULEXJ,2,Mammals
70,1.253,1.006,0.0,3.266,w_GCM[10],RULEXJ,2,Mammals
71,433.283,99.831,234.131,626.108,sigma,RULEXJ,2,Mammals
72,0.085,0.101,0.0,0.286,alpha,RULEXJ,3,Mammals
73,-16.075,445.092,-918.727,779.723,w_CAM[0],RULEXJ,3,Mammals
74,-359.698,1251.337,-2547.859,2426.8,w_CAM[1],RULEXJ,3,Mammals
75,-455.719,733.07,-1920.788,1016.799,w_CAM[2],RULEXJ,3,Mammals
76,-1570.281,1001.949,-3479.997,463.169,w_CAM[3],RULEXJ,3,Mammals
77,288.927,820.114,-1277.665,1929.385,w_CAM[4],RULEXJ,3,Mammals
78,-125.709,895.792,-1947.447,1600.764,w_CAM[5],RULEXJ,3,Mammals
79,446.408,929.113,-1347.532,2272.166,w_CAM[6],RULEXJ,3,Mammals
80,-823.999,792.591,-2417.944,674.722,w_CAM[7],RULEXJ,3,Mammals
81,-576.817,850.371,-2267.632,1036.107,w_CAM[8],RULEXJ,3,Mammals
82,2344.148,1040.402,313.661,4389.35,w_CAM[9],RULEXJ,3,Mammals
83,-430.588,788.47,-2038.729,1042.577,w_CAM[10],RULEXJ,3,Mammals
84,33.912,16.785,12.354,65.747,c,RULEXJ,3,Mammals
85,0.32,0.287,0.0,0.851,w_GCM[1],RULEXJ,3,Mammals
86,0.468,0.497,0.002,1.442,w_GCM[2],RULEXJ,3,Mammals
87,0.124,0.118,0.0,0.345,w_GCM[3],RULEXJ,3,Mammals
88,1.561,1.198,0.001,3.928,w_GCM[4],RULEXJ,3,Mammals
89,0.202,0.31,0.0,0.783,w_GCM[5],RULEXJ,3,Mammals
90,2.184,0.804,0.737,3.821,w_GCM[6],RULEXJ,3,Mammals
91,1.795,0.912,0.168,3.543,w_GCM[7],RULEXJ,3,Mammals
92,1.136,0.654,0.049,2.386,w_GCM[8],RULEXJ,3,Mammals
93,0.894,0.645,0.001,2.117,w_GCM[9],RULEXJ,3,Mammals
94,1.366,1.033,0.0,3.365,w_GCM[10],RULEXJ,3,Mammals
95,213.49,115.643,-0.0,406.691,sigma,RULEXJ,3,Mammals
96,0.121,0.069,0.008,0.255,alpha,RULEXJ,4,Mammals
97,-701.003,429.853,-1575.538,55.668,w_CAM[0],RULEXJ,4,Mammals
98,569.627,820.301,-961.736,2230.83,w_CAM[1],RULEXJ,4,Mammals
99,356.61,904.651,-1549.043,2047.002,w_CAM[2],RULEXJ,4,Mammals
100,-855.63,837.489,-2546.948,721.756,w_CAM[3],RULEXJ,4,Mammals
101,-558.054,724.53,-2022.632,857.078,w_CAM[4],RULEXJ,4,Mammals
102,1326.389,817.542,-307.732,2954.324,w_CAM[5],RULEXJ,4,Mammals
103,341.891,902.131,-1345.694,2162.856,w_CAM[6],RULEXJ,4,Mammals
104,-912.866,716.056,-2377.239,445.661,w_CAM[7],RULEXJ,4,Mammals
105,-258.065,784.218,-1708.103,1326.528,w_CAM[8],RULEXJ,4,Mammals
106,220.728,756.002,-1296.24,1697.862,w_CAM[9],RULEXJ,4,Mammals
107,260.716,718.653,-1181.362,1665.123,w_CAM[10],RULEXJ,4,Mammals
108,13.245,4.72,5.572,22.414,c,RULEXJ,4,Mammals
109,0.035,0.055,0.0,0.136,w_GCM[1],RULEXJ,4,Mammals
110,0.403,0.464,0.0,1.32,w_GCM[2],RULEXJ,4,Mammals
111,0.096,0.072,0.0,0.233,w_GCM[3],RULEXJ,4,Mammals
112,0.879,0.775,0.0,2.446,w_GCM[4],RULEXJ,4,Mammals
113,1.242,0.418,0.46,2.094,w_GCM[5],RULEXJ,4,Mammals
114,1.928,0.709,0.653,3.391,w_GCM[6],RULEXJ,4,Mammals
115,0.385,0.423,0.0,1.244,w_GCM[7],RULEXJ,4,Mammals
116,0.855,0.692,0.0,2.205,w_GCM[8],RULEXJ,4,Mammals
117,3.371,0.713,1.959,4.767,w_GCM[9],RULEXJ,4,Mammals
118,0.828,0.732,0.001,2.371,w_GCM[10],RULEXJ,4,Mammals
119,182.646,74.205,-0.0,302.806,sigma,RULEXJ,4,Mammals
120,0.001,0.019,-0.0,0.0,alpha,RULEXJ,5,Mammals
121,-427.721,3247.328,-4558.502,3131.202,w_CAM[0],RULEXJ,5,Mammals
122,-8118.369,22445.929,-37581.141,19804.533,w_CAM[1],RULEXJ,5,Mammals
123,-2051.946,1874.44,-5683.449,1519.431,w_CAM[2],RULEXJ,5,Mammals
124,-517.246,4595.279,-5641.271,3730.57,w_CAM[3],RULEXJ,5,Mammals
125,-5442.345,10299.319,-18463.938,3906.017,w_CAM[4],RULEXJ,5,Mammals
126,1496.034,12898.64,-8012.356,7479.659,w_CAM[5],RULEXJ,5,Mammals
127,-74.413,2201.455,-2445.876,2664.399,w_CAM[6],RULEXJ,5,Mammals
128,-2007.701,10513.11,-9461.7,6410.647,w_CAM[7],RULEXJ,5,Mammals
129,-930.471,4490.545,-3762.745,2068.078,w_CAM[8],RULEXJ,5,Mammals
130,4480.277,9415.375,-3310.261,16255.023,w_CAM[9],RULEXJ,5,Mammals
131,-87.811,909.572,-1785.372,1615.668,w_CAM[10],RULEXJ,5,Mammals
132,17.842,6.638,5.459,31.303,c,RULEXJ,5,Mammals
133,0.188,0.19,-0.0,0.545,w_GCM[1],RULEXJ,5,Mammals
134,1.62,1.305,0.0,4.239,w_GCM[2],RULEXJ,5,Mammals
135,0.68,0.39,0.123,1.47,w_GCM[3],RULEXJ,5,Mammals
136,0.527,0.555,0.0,1.672,w_GCM[4],RULEXJ,5,Mammals
137,1.05,0.717,0.043,2.247,w_GCM[5],RULEXJ,5,Mammals
138,1.623,0.977,0.083,3.455,w_GCM[6],RULEXJ,5,Mammals
139,0.876,0.736,0.0,2.35,w_GCM[7],RULEXJ,5,Mammals
140,0.684,0.531,0.0,1.692,w_GCM[8],RULEXJ,5,Mammals
141,1.867,0.618,0.709,3.108,w_GCM[9],RULEXJ,5,Mammals
142,0.837,0.687,0.007,2.227,w_GCM[10],RULEXJ,5,Mammals
143,303.572,112.707,87.876,530.838,sigma,RULEXJ,5,Mammals
144,0.04,0.077,-0.0,0.185,alpha,RULEXJ,6,Mammals
145,892.037,684.248,-154.218,1803.294,w_CAM[0],RULEXJ,6,Mammals
146,-2950.252,2752.352,-6830.96,572.164,w_CAM[1],RULEXJ,6,Mammals
147,-248.693,1056.05,-2298.647,1920.18,w_CAM[2],RULEXJ,6,Mammals
148,-91.025,1439.236,-2343.689,2068.197,w_CAM[3],RULEXJ,6,Mammals
149,-186.208,1743.866,-2216.531,1987.093,w_CAM[4],RULEXJ,6,Mammals
150,672.521,1885.68,-1226.228,2642.875,w_CAM[5],RULEXJ,6,Mammals
151,557.504,971.388,-1295.551,2264.726,w_CAM[6],RULEXJ,6,Mammals
152,54.62,1084.847,-1682.832,1804.957,w_CAM[7],RULEXJ,6,Mammals
153,-238.845,1204.538,-1941.958,1499.834,w_CAM[8],RULEXJ,6,Mammals
154,782.225,1213.95,-1237.472,2578.335,w_CAM[9],RULEXJ,6,Mammals
155,-271.164,850.624,-1932.122,1394.187,w_CAM[10],RULEXJ,6,Mammals
156,21.084,9.704,7.264,38.955,c,RULEXJ,6,Mammals
157,0.978,0.631,0.02,2.209,w_GCM[1],RULEXJ,6,Mammals
158,0.549,0.703,0.0,2.013,w_GCM[2],RULEXJ,6,Mammals
159,0.218,0.22,-0.0,0.639,w_GCM[3],RULEXJ,6,Mammals
160,0.897,0.984,0.0,2.967,w_GCM[4],RULEXJ,6,Mammals
161,0.604,0.856,0.0,2.459,w_GCM[5],RULEXJ,6,Mammals
162,2.231,1.015,0.42,4.208,w_GCM[6],RULEXJ,6,Mammals
163,1.285,0.975,0.0,3.188,w_GCM[7],RULEXJ,6,Mammals
164,1.194,0.772,0.023,2.652,w_GCM[8],RULEXJ,6,Mammals
165,0.38,0.378,0.0,1.106,w_GCM[9],RULEXJ,6,Mammals
166,1.661,1.327,0.0,4.238,w_GCM[10],RULEXJ,6,Mammals
167,330.65,109.142,111.791,544.334,sigma,RULEXJ,6,Mammals
168,0.044,0.056,0.0,0.159,alpha,RULEXJ,7,Mammals
169,784.615,431.966,-58.387,1658.879,w_CAM[0],RULEXJ,7,Mammals
170,-23.579,1329.625,-2614.11,2503.728,w_CAM[1],RULEXJ,7,Mammals
171,-1156.788,1205.841,-3509.175,1232.275,w_CAM[2],RULEXJ,7,Mammals
172,-594.294,1147.992,-2693.336,1794.168,w_CAM[3],RULEXJ,7,Mammals
173,166.006,934.607,-1642.446,1986.8,w_CAM[4],RULEXJ,7,Mammals
174,420.297,841.335,-1222.269,2071.419,w_CAM[5],RULEXJ,7,Mammals
175,483.764,819.56,-1142.678,2057.996,w_CAM[6],RULEXJ,7,Mammals
176,-377.264,813.535,-1880.97,1240.084,w_CAM[7],RULEXJ,7,Mammals
177,-28.892,842.038,-1554.672,1603.109,w_CAM[8],RULEXJ,7,Mammals
178,598.019,867.99,-1162.248,2182.243,w_CAM[9],RULEXJ,7,Mammals
179,-200.45,784.149,-1702.892,1391.587,w_CAM[10],RULEXJ,7,Mammals
180,12.068,4.528,5.767,20.242,c,RULEXJ,7,Mammals
181,0.394,0.308,0.001,0.991,w_GCM[1],RULEXJ,7,Mammals
182,0.62,0.633,0.0,1.908,w_GCM[2],RULEXJ,7,Mammals
183,0.62,0.338,0.115,1.274,w_GCM[3],RULEXJ,7,Mammals
184,0.465,0.626,0.0,1.719,w_GCM[4],RULEXJ,7,Mammals
185,1.39,1.026,0.002,3.459,w_GCM[5],RULEXJ,7,Mammals
186,0.912,0.444,0.192,1.837,w_GCM[6],RULEXJ,7,Mammals
187,1.241,0.769,0.0,2.658,w_GCM[7],RULEXJ,7,Mammals
188,0.974,0.6,0.052,2.148,w_GCM[8],RULEXJ,7,Mammals
189,0.948,0.368,0.289,1.675,w_GCM[9],RULEXJ,7,Mammals
190,2.466,1.302,0.136,4.79,w_GCM[10],RULEXJ,7,Mammals
191,251.276,60.931,134.542,374.114,sigma,RULEXJ,7,Mammals
192,0.002,0.037,-0.0,0.0,alpha,RULEXJ,8,Mammals
193,1743.949,8740.47,-5675.938,9722.691,w_CAM[0],RULEXJ,8,Mammals
194,-9354.805,69003.211,-105851.43,76525.797,w_CAM[1],RULEXJ,8,Mammals
195,-3412.89,3192.303,-9736.063,2488.229,w_CAM[2],RULEXJ,8,Mammals
196,-2194.537,7280.124,-12505.796,6371.21,w_CAM[3],RULEXJ,8,Mammals
197,-12896.912,26952.285,-47171.344,9582.431,w_CAM[4],RULEXJ,8,Mammals
198,-7865.001,30705.228,-44858.57,12341.347,w_CAM[5],RULEXJ,8,Mammals
199,-1084.351,5494.497,-8829.571,5038.05,w_CAM[6],RULEXJ,8,Mammals
200,-5307.51,20478.4,-27883.266,15377.411,w_CAM[7],RULEXJ,8,Mammals
201,-3123.703,12132.151,-13441.899,2772.064,w_CAM[8],RULEXJ,8,Mammals
202,11717.92,40692.257,-9368.271,54097.625,w_CAM[9],RULEXJ,8,Mammals
203,-83.614,1533.801,-2168.52,1859.152,w_CAM[10],RULEXJ,8,Mammals
204,20.929,9.25,4.27,39.695,c,RULEXJ,8,Mammals
205,0.033,0.102,-0.0,0.162,w_GCM[1],RULEXJ,8,Mammals
206,2.0,1.214,-0.0,4.238,w_GCM[2],RULEXJ,8,Mammals
207,1.659,1.465,-0.0,4.727,w_GCM[3],RULEXJ,8,Mammals
208,1.021,0.818,0.001,2.637,w_GCM[4],RULEXJ,8,Mammals
209,1.213,1.104,-0.0,3.37,w_GCM[5],RULEXJ,8,Mammals
210,1.365,1.487,-0.0,4.509,w_GCM[6],RULEXJ,8,Mammals
211,1.172,1.062,-0.0,3.259,w_GCM[7],RULEXJ,8,Mammals
212,0.625,0.617,-0.0,1.899,w_GCM[8],RULEXJ,8,Mammals
213,0.786,0.545,0.001,1.842,w_GCM[9],RULEXJ,8,Mammals
214,0.646,0.53,0.005,1.693,w_GCM[10],RULEXJ,8,Mammals
215,509.64,218.165,87.508,963.425,sigma,RULEXJ,8,Mammals
216,0.17,0.146,0.0,0.472,alpha,RULEXJ,9,Mammals
217,285.682,360.547,-459.513,896.961,w_CAM[0],RULEXJ,9,Mammals
218,-1729.769,905.59,-3480.37,4.135,w_CAM[1],RULEXJ,9,Mammals
219,-1157.771,672.103,-2487.293,207.102,w_CAM[2],RULEXJ,9,Mammals
220,-407.816,882.395,-2180.374,1291.206,w_CAM[3],RULEXJ,9,Mammals
221,-521.78,733.915,-2015.459,876.169,w_CAM[4],RULEXJ,9,Mammals
222,532.093,846.929,-1149.775,2192.516,w_CAM[5],RULEXJ,9,Mammals
223,621.927,879.428,-1109.459,2360.168,w_CAM[6],RULEXJ,9,Mammals
224,-396.605,694.771,-1754.072,978.25,w_CAM[7],RULEXJ,9,Mammals
225,-37.779,875.874,-1739.334,1703.721,w_CAM[8],RULEXJ,9,Mammals
226,1029.651,872.3,-681.854,2735.657,w_CAM[9],RULEXJ,9,Mammals
227,-154.831,896.228,-1911.328,1630.034,w_CAM[10],RULEXJ,9,Mammals
228,36.635,18.347,8.184,72.621,c,RULEXJ,9,Mammals
229,0.478,0.433,0.0,1.32,w_GCM[1],RULEXJ,9,Mammals
230,0.849,0.783,0.001,2.423,w_GCM[2],RULEXJ,9,Mammals
231,0.377,0.391,0.0,1.119,w_GCM[3],RULEXJ,9,Mammals
232,0.95,0.908,0.0,2.818,w_GCM[4],RULEXJ,9,Mammals
233,0.146,0.146,0.0,0.425,w_GCM[5],RULEXJ,9,Mammals
234,1.262,0.663,0.093,2.552,w_GCM[6],RULEXJ,9,Mammals
235,0.997,0.717,0.0,2.396,w_GCM[7],RULEXJ,9,Mammals
236,0.273,0.325,0.0,0.928,w_GCM[8],RULEXJ,9,Mammals
237,3.227,1.102,1.163,5.341,w_GCM[9],RULEXJ,9,Mammals
238,1.432,1.179,0.0,3.832,w_GCM[10],RULEXJ,9,Mammals
239,359.1,138.925,77.96,636.207,sigma,RULEXJ,9,Mammals
240,0.121,0.154,-0.0,0.459,alpha,RULEXJ,10,Mammals
241,1010.563,416.878,189.558,1821.848,w_CAM[0],RULEXJ,10,Mammals
242,-960.572,1161.472,-2924.538,1316.811,w_CAM[1],RULEXJ,10,Mammals
243,-1412.097,960.449,-3391.739,544.659,w_CAM[2],RULEXJ,10,Mammals
244,-1306.744,1027.623,-3246.853,684.393,w_CAM[3],RULEXJ,10,Mammals
245,-479.336,961.756,-2234.671,1316.821,w_CAM[4],RULEXJ,10,Mammals
246,703.984,901.984,-1094.334,2424.774,w_CAM[5],RULEXJ,10,Mammals
247,495.48,881.916,-1199.823,2242.791,w_CAM[6],RULEXJ,10,Mammals
248,322.673,945.112,-1500.005,2120.856,w_CAM[7],RULEXJ,10,Mammals
249,-211.375,845.962,-1865.077,1395.198,w_CAM[8],RULEXJ,10,Mammals
250,811.54,857.297,-824.525,2403.21,w_CAM[9],RULEXJ,10,Mammals
251,-178.557,781.956,-1678.36,1363.655,w_CAM[10],RULEXJ,10,Mammals
252,14.243,8.335,4.491,28.495,c,RULEXJ,10,Mammals
253,1.068,0.668,0.033,2.387,w_GCM[1],RULEXJ,10,Mammals
254,1.245,1.113,0.001,3.58,w_GCM[2],RULEXJ,10,Mammals
255,0.511,0.414,0.006,1.324,w_GCM[3],RULEXJ,10,Mammals
256,0.835,0.859,0.0,2.598,w_GCM[4],RULEXJ,10,Mammals
257,1.012,0.932,0.001,2.937,w_GCM[5],RULEXJ,10,Mammals
258,1.681,0.953,0.079,3.474,w_GCM[6],RULEXJ,10,Mammals
259,0.828,0.77,0.0,2.379,w_GCM[7],RULEXJ,10,Mammals
260,1.115,0.805,0.005,2.686,w_GCM[8],RULEXJ,10,Mammals
261,0.439,0.397,0.0,1.175,w_GCM[9],RULEXJ,10,Mammals
262,1.273,1.024,0.002,3.337,w_GCM[10],RULEXJ,10,Mammals
263,448.991,95.5,274.289,649.126,sigma,RULEXJ,10,Mammals
264,0.063,0.06,0.0,0.18,alpha,RULEXJ,11,Mammals
265,-349.566,440.672,-1229.761,435.923,w_CAM[0],RULEXJ,11,Mammals
266,-1016.132,1162.216,-3237.926,1384.348,w_CAM[1],RULEXJ,11,Mammals
267,-1245.405,861.805,-2871.011,570.889,w_CAM[2],RULEXJ,11,Mammals
268,964.964,1061.759,-1167.558,3047.382,w_CAM[3],RULEXJ,11,Mammals
269,-61.344,846.062,-1707.922,1607.505,w_CAM[4],RULEXJ,11,Mammals
270,807.193,880.574,-927.017,2542.982,w_CAM[5],RULEXJ,11,Mammals
271,793.039,871.52,-900.269,2507.677,w_CAM[6],RULEXJ,11,Mammals
272,-78.423,761.802,-1518.989,1483.843,w_CAM[7],RULEXJ,11,Mammals
273,-77.285,783.8,-1609.784,1472.158,w_CAM[8],RULEXJ,11,Mammals
274,705.412,806.263,-818.139,2320.367,w_CAM[9],RULEXJ,11,Mammals
275,-114.273,713.152,-1505.395,1293.235,w_CAM[10],RULEXJ,11,Mammals
276,14.264,4.687,6.717,23.333,c,RULEXJ,11,Mammals
277,0.045,0.052,0.0,0.143,w_GCM[1],RULEXJ,11,Mammals
278,0.825,0.642,0.025,2.096,w_GCM[2],RULEXJ,11,Mammals
279,0.058,0.049,0.0,0.15,w_GCM[3],RULEXJ,11,Mammals
280,1.167,0.933,0.0,3.011,w_GCM[4],RULEXJ,11,Mammals
281,1.513,0.493,0.56,2.461,w_GCM[5],RULEXJ,11,Mammals
282,1.405,0.588,0.375,2.61,w_GCM[6],RULEXJ,11,Mammals
283,0.272,0.337,0.0,1.0,w_GCM[7],RULEXJ,11,Mammals
284,0.959,0.669,0.006,2.271,w_GCM[8],RULEXJ,11,Mammals
285,2.587,0.655,1.346,3.836,w_GCM[9],RULEXJ,11,Mammals
286,1.162,0.915,0.003,3.003,w_GCM[10],RULEXJ,11,Mammals
287,208.333,76.414,60.353,364.108,sigma,RULEXJ,11,Mammals
288,0.083,0.093,0.0,0.271,alpha,RULEXJ,12,Mammals
289,139.312,447.018,-719.996,964.112,w_CAM[0],RULEXJ,12,Mammals
290,-332.294,1248.265,-2631.28,2258.404,w_CAM[1],RULEXJ,12,Mammals
291,277.17,1020.0,-1609.217,2402.647,w_CAM[2],RULEXJ,12,Mammals
292,-1091.065,954.624,-2926.927,787.956,w_CAM[3],RULEXJ,12,Mammals
293,-74.846,826.954,-1649.054,1545.775,w_CAM[4],RULEXJ,12,Mammals
294,18.505,864.358,-1688.391,1703.058,w_CAM[5],RULEXJ,12,Mammals
295,-8.451,818.418,-1619.42,1587.245,w_CAM[6],RULEXJ,12,Mammals
296,-484.522,766.177,-2043.182,961.908,w_CAM[7],RULEXJ,12,Mammals
297,-473.702,862.608,-2178.472,1177.371,w_CAM[8],RULEXJ,12,Mammals
298,1006.559,852.334,-710.925,2643.096,w_CAM[9],RULEXJ,12,Mammals
299,28.055,721.89,-1399.936,1440.975,w_CAM[10],RULEXJ,12,Mammals
300,13.234,6.011,4.881,23.167,c,RULEXJ,12,Mammals
301,0.229,0.203,0.0,0.607,w_GCM[1],RULEXJ,12,Mammals
302,0.627,0.741,0.0,2.19,w_GCM[2],RULEXJ,12,Mammals
303,0.184,0.164,0.0,0.509,w_GCM[3],RULEXJ,12,Mammals
304,1.007,1.044,0.0,3.158,w_GCM[4],RULEXJ,12,Mammals
305,0.972,0.728,0.002,2.413,w_GCM[5],RULEXJ,12,Mammals
306,1.717,0.913,0.212,3.511,w_GCM[6],RULEXJ,12,Mammals
307,0.859,0.723,0.0,2.283,w_GCM[7],RULEXJ,12,Mammals
308,0.782,0.629,0.0,2.024,w_GCM[8],RULEXJ,12,Mammals
309,2.44,0.843,0.878,4.093,w_GCM[9],RULEXJ,12,Mammals
310,1.205,1.06,0.0,3.332,w_GCM[10],RULEXJ,12,Mammals
311,316.917,82.961,154.911,485.819,sigma,RULEXJ,12,Mammals
312,0.008,0.028,-0.0,0.043,alpha,RULEXJ,13,Mammals
313,1364.78,1315.575,-357.583,3593.313,w_CAM[0],RULEXJ,13,Mammals
314,-2595.591,6515.61,-10997.445,4585.703,w_CAM[1],RULEXJ,13,Mammals
315,835.281,1972.285,-2881.341,4783.607,w_CAM[2],RULEXJ,13,Mammals
316,-218.532,2924.037,-3834.507,3237.018,w_CAM[3],RULEXJ,13,Mammals
317,49.822,2904.103,-3832.742,3810.244,w_CAM[4],RULEXJ,13,Mammals
318,1186.232,3321.349,-2025.152,4186.643,w_CAM[5],RULEXJ,13,Mammals
319,330.823,1330.349,-1828.369,2697.804,w_CAM[6],RULEXJ,13,Mammals
320,-185.999,2566.742,-2832.906,2626.934,w_CAM[7],RULEXJ,13,Mammals
321,-141.616,2239.725,-2196.769,2326.27,w_CAM[8],RULEXJ,13,Mammals
322,880.932,2670.095,-1944.068,4191.031,w_CAM[9],RULEXJ,13,Mammals
323,-207.678,996.811,-2057.992,1748.693,w_CAM[10],RULEXJ,13,Mammals
324,17.431,7.59,5.714,31.449,c,RULEXJ,13,Mammals
325,0.665,0.528,0.0,1.717,w_GCM[1],RULEXJ,13,Mammals
326,0.516,0.732,0.0,2.009,w_GCM[2],RULEXJ,13,Mammals
327,0.167,0.194,-0.0,0.52,w_GCM[3],RULEXJ,13,Mammals
328,0.787,0.919,0.0,2.748,w_GCM[4],RULEXJ,13,Mammals
329,2.275,1.937,0.0,5.939,w_GCM[5],RULEXJ,13,Mammals
330,1.844,1.243,0.055,4.315,w_GCM[6],RULEXJ,13,Mammals
331,0.881,0.907,0.0,2.79,w_GCM[7],RULEXJ,13,Mammals
332,0.635,0.593,0.0,1.839,w_GCM[8],RULEXJ,13,Mammals
333,0.315,0.301,0.0,0.878,w_GCM[9],RULEXJ,13,Mammals
334,1.979,1.481,0.0,4.8,w_GCM[10],RULEXJ,13,Mammals
