ID,best_mod,n_runs,n_agree,alt_mod,n_alt,perc,domain,person
0,RULEXJ,50,24,GCM,26,48,Countries,P1
1,RULEXJ,50,50,NA,NA,100,Countries,P2
2,RULEXJ,50,26,GCM,24,52,Countries,P3
3,RULEXJ,50,50,NA,NA,100,Countries,P4
4,RULEXJ,50,40,RGuess,10,80,Countries,P5
5,RULEXJ,50,29,MAPP,21,57.99999999999999,Countries,P6
6,GCM,50,50,NA,NA,100,Countries,P7
7,GCM,50,50,NA,NA,100,Countries,P8
8,GCM,50,14,MAPP,32,28.000000000000004,Countries,P9
9,RULEXJ,50,50,NA,NA,100,Countries,P10
10,GCM,50,25,RULEXJ,25,50,Countries,P11
11,RULEXJ,50,50,NA,NA,100,Countries,P12
12,GCM,50,0,MAPP,49,0,Countries,P13
13,RULEXJ,50,50,NA,NA,100,Countries,P14
14,GCM,50,50,NA,NA,100,Countries,P15
15,RULEXJ,50,50,NA,NA,100,Countries,P16
16,RULEXJ,50,17,GCM,33,34,Countries,P17
17,GCM,50,7,RULEXJ,43,14.000000000000002,Countries,P18
18,RULEXJ,50,50,NA,NA,100,Countries,P19
19,RULEXJ,50,49,RGuess,1,98,Countries,P20
20,RULEXJ,50,16,MAPP,34,32,Countries,P21
21,RULEXJ,50,50,NA,NA,100,Countries,P22
22,RGuess,50,7,RULEXJ,43,14.000000000000002,Countries,P23
23,RULEXJ,50,50,NA,NA,100,Countries,P24
24,RULEXJ,50,15,GCM,35,30,Countries,P25
25,RULEXJ,50,49,RGuess,1,98,Countries,P26
26,GCM,50,50,NA,NA,100,Countries,P27
27,GCM,50,50,NA,NA,100,Countries,P28
28,RULEXJ,50,50,NA,NA,100,Countries,P29
29,GCM,50,43,RULEXJ,7,86,Countries,P30
30,GCM,50,50,NA,NA,100,Countries,P31
31,RULEXJ,50,48,MAPP,2,96,Countries,P32
32,GCM,50,50,NA,NA,100,Countries,P33
33,RULEXJ,50,50,NA,NA,100,Countries,P34
34,MAPP,50,50,NA,NA,100,Countries,P35
35,RGuess,50,50,NA,NA,100,Countries,P36
36,MAPP,50,13,RULEXJ,24,26,Countries,P37
37,RULEXJ,50,50,NA,NA,100,Countries,P38
38,GCM,50,48,MAPP,2,96,Countries,P39
39,RULEXJ,50,50,NA,NA,100,Countries,P40
40,RULEXJ,50,6,GCM,44,12,Countries,P41
41,GCM,50,50,NA,NA,100,Countries,P42
42,GCM,50,6,MAPP,30,12,Countries,P43
43,RULEXJ,50,50,NA,NA,100,Countries,P44
44,GCM,50,46,RULEXJ,4,92,Countries,P45
45,GCM,50,48,RULEXJ,2,96,Countries,P46
46,RULEXJ,50,50,NA,NA,100,Countries,P47
47,CAM,50,49,RULEXJ,1,98,Countries,P48
0,CAM,50,3,RGuess,47,6,Food,P1
1,CAM,50,22,QEst,17,44,Food,P2
2,MAPP,50,49,QEst,1,98,Food,P3
3,GCM,50,35,CAM,14,70,Food,P4
4,CAM,50,48,GCM,2,96,Food,P5
5,CAM,50,16,RULEXJ,21,32,Food,P6
6,CAM,50,41,GCM,3,82,Food,P7
